symbol,idx,timestamp,passed_prefilter,passed_anti_late,passed_ultra,ultra_reasons,direction,prefilter_score,composite_score,peak_pct,dd_pct,exit_pct,exit_reason,exit_bars,rsi_value,rsi_divergence,macd_hist,macd_divergence,ema_alignment,rvol,volume_spike,vwap_distance_pct,price_above_vwap,atr_pct,atr_expanding,bb_squeeze,bb_breakout_above,momentum_1_pct,momentum_3_pct,momentum_6_pct,momentum_12_pct,momentum_acceleration,higher_highs,higher_lows,bos_up,in_range,candle_strength,big_wick_top,power_streak,mtf_alignment,btc_state,btc_momentum_12_pct
ALICEUSDT,120,2026-05-03T08:00:00+00:00,1,1,0,"low_conf(41),atr(2.8),chop_mom6(-0.1)",LONG,45.0,41.09173967507416,0.0,0.0,0.0,not_taken,0,47.927577446366115,0.0,8.358200525322614e-05,0.0,0.0,0.722,0.0,-0.47197162660957476,0.0,2.8335083787705164,0.0,1.0,0.0,0.4774897680763836,-1.6032064128256602,-0.13559322033898694,-1.273458445040223,-3.094731836554479,0.0,1.0,0.0,0.0,0.3374541552054655,1.0,0.0,0.5405676153215119,1.0,1.147979075253973
ALICEUSDT,126,2026-05-04T08:00:00+00:00,0,1,0,"prefilter,low_conf(43),atr(2.7),chop_mom6(0.5)",LONG,20.0,42.96156650265548,0.0,0.0,0.0,not_taken,0,49.782160060786296,0.0,0.00014403926397994673,0.0,0.0,1.107,0.0,-0.23338739476088405,0.0,2.7128470784958423,0.0,1.0,0.0,-0.6044325050369455,0.8174386920980782,0.4752206381534326,0.33898305084745795,1.1568820050647943,0.0,1.0,0.0,0.0,0.3386111111111121,1.0,0.0,0.4959481361426256,1.0,1.147979075253973
ALICEUSDT,132,2026-05-05T08:00:00+00:00,1,1,0,atr(2.7),LONG,27.0,63.67330987942805,0.0,0.0,0.0,not_taken,0,57.590156724656474,0.0,0.00041868141492338597,0.0,0.0,1.877,0.0,1.5048248386172607,1.0,2.6980352624879864,0.0,1.0,1.0,-0.5266622778143483,3.069577080491135,2.094594594594608,2.5797691785472,4.01552302643707,0.0,0.0,0.0,0.0,0.5114086455549883,0.0,0.0,0.43752442504498434,1.0,1.147979075253973
ALICEUSDT,138,2026-05-06T08:00:00+00:00,1,1,0,"low_conf(49),atr(2.9),chop_mom6(1.5)",LONG,30.0,49.39302949567541,0.0,0.0,0.0,not_taken,0,57.36372191157991,0.0,0.0005898389069077486,0.0,0.0,1.073,0.0,1.5935034795896876,1.0,2.866873292399193,0.0,1.0,0.0,0.45871559633026104,-0.8408796895213425,1.4559894109860885,3.5810810810810807,-3.1572264797264884,1.0,0.0,0.0,0.0,0.4715828360329614,1.0,0.0,0.8145727371766358,1.0,1.147979075253973
ALICEUSDT,144,2026-05-07T08:00:00+00:00,1,1,0,low_conf(33),LONG,45.0,33.41353839277026,0.0,0.0,0.0,not_taken,0,39.50107998577499,0.0,-0.001546026798773224,0.0,0.0,1.175,0.0,-3.6185609768427405,0.0,3.922329226676189,0.0,0.0,0.0,0.14255167498218513,3.1571218795888596,-8.34964122635354,-7.015221707478489,14.311720705420566,1.0,0.0,0.0,0.0,0.37278692332259067,1.0,0.0,0.42883757761745805,1.0,1.147979075253973
ALICEUSDT,150,2026-05-08T08:00:00+00:00,1,1,0,low_conf(28),LONG,28.0,27.894112843363644,0.0,0.0,0.0,not_taken,0,44.173021090915576,0.0,-0.0001807520140385487,0.0,0.0,0.232,0.0,-1.6570964837875266,0.0,3.7282164780347506,0.0,0.0,0.0,-0.7644197359277205,-2.6584867075664533,1.637010676156581,-6.849315068493139,-7.071298095466797,1.0,0.0,0.0,0.0,0.3270806857013751,1.0,0.0,0.5345919208164563,1.0,1.147979075253973
ALICEUSDT,156,2026-05-09T08:00:00+00:00,1,1,1,,LONG,43.0,64.51961161991252,0.19556714471968364,-2.477183833116035,-0.3054106910039182,stop_loss,1,61.07695507953231,0.0,0.0011182997989953943,0.0,0.0,7.833,1.0,3.735297706786094,1.0,3.726163210826931,0.0,0.0,0.0,0.26143790849673954,4.709897610921514,7.4229691876750685,9.181494661921704,2.118861196355701,0.0,0.0,0.0,0.0,0.396661126177353,1.0,0.0,0.8060057281351378,1.0,1.147979075253973
ALICEUSDT,162,2026-05-10T08:00:00+00:00,1,1,0,low_conf(53),LONG,27.0,53.30291795841275,0.0,0.0,0.0,not_taken,0,55.3840724362053,0.0,0.00041486805887612087,0.0,0.0,0.235,0.0,0.47055840274513194,1.0,3.2886085199158295,0.0,0.0,0.0,0.8032128514056269,1.073825503355717,-1.8252933507170772,5.462184873949581,3.9421436259111373,0.0,0.0,0.0,0.0,0.3575096277278578,0.0,0.0,0.7966380169204372,1.0,1.147979075253973
ALICEUSDT,168,2026-05-11T08:00:00+00:00,0,1,0,"prefilter,low_conf(42),chop_mom6(-1.3)",SHORT,10.0,42.36323741388905,0.0,0.0,0.0,not_taken,0,49.21710215536895,0.0,-8.934264745811074e-05,0.0,0.0,0.502,0.0,-2.615398657620362,0.0,3.126707421949462,0.0,0.0,0.0,-0.7343124165554005,-1.6534391534391548,-1.2616201859229832,-3.063885267275104,-2.05184552794114,0.0,1.0,0.0,0.0,0.3031565656565637,0.0,0.0,0.32839191509036314,1.0,1.147979075253973
ALICEUSDT,174,2026-05-12T08:00:00+00:00,0,1,0,"prefilter,low_conf(38)",SHORT,0.0,38.17555643625275,0.0,0.0,0.0,not_taken,0,42.45337496186858,0.0,-0.0005782855321049015,0.0,0.0,0.247,0.0,-5.195896174571612,0.0,3.062391659453684,0.0,1.0,0.0,-1.7591339648173148,-3.3932135728542874,-2.3537323470073996,-3.5856573705179384,-4.4692055029148055,0.0,1.0,0.0,0.0,0.4704545454545427,0.0,0.0,0.2077232414572645,1.0,1.147979075253973
