ex_stoch_k,ex_stoch_d,ex_stoch_crossover,ex_stoch_overbought,ex_stoch_oversold,ex_stoch_score,ex_stochrsi_k,ex_stochrsi_d,ex_stochrsi_crossover,ex_stochrsi_score,ex_williams_r,ex_williams_oversold,ex_williams_overbought,ex_williams_score,ex_cci,ex_cci_oversold,ex_cci_overbought,ex_cci_score,ex_ao,ex_ao_positive,ex_ao_saucer,ex_ao_score,ex_tsi,ex_tsi_positive,ex_tsi_score,ex_uo,ex_uo_oversold,ex_uo_score,ex_roc,ex_roc_positive,ex_roc_score,ex_adx,ex_adx_strong,ex_adx_weak,ex_plus_di,ex_minus_di,ex_adx_score,ex_aroon_up,ex_aroon_down,ex_aroon_score,ex_aroon_crossover,ex_psar,ex_psar_above,ex_psar_below,ex_psar_score,ex_psar_bullish_trend,ex_vortex_plus,ex_vortex_minus,ex_vortex_score,ex_supertrend,ex_supertrend_bullish,ex_supertrend_distance_pct,ex_supertrend_score,ex_kst,ex_kst_signal,ex_kst_crossover,ex_kst_score,ex_trix,ex_trix_positive,ex_trix_score,ex_mfi,ex_mfi_oversold,ex_mfi_overbought,ex_mfi_score,ex_cmf,ex_cmf_positive,ex_cmf_score,ex_obv_norm,ex_obv_slope_norm,ex_obv_score,ex_ad_norm,ex_ad_slope_norm,ex_ad_score,ex_force_norm,ex_force_positive,ex_force_score,ex_eom,ex_eom_positive,ex_eom_score,ex_vpt_norm,ex_vpt_slope_norm,ex_vpt_score,ex_kc_upper,ex_kc_lower,ex_kc_mid,ex_kc_breakout_above,ex_kc_breakout_below,ex_kc_score,ex_dc_upper,ex_dc_lower,ex_dc_mid,ex_dc_breakout_above,ex_dc_breakout_below,ex_dc_score,ex_ulcer,ex_ulcer_score,ex_mass_index,ex_mass_reversal,ex_mass_score,symbol,idx,label
63.29113924050646,70.23562319252845,0,0,0,45.0,58.95756509134608,89.21167720585969,0,40.0,-36.70886075949354,0,0,50.0,84.65608465608267,0,0,50.0,-0.000718823529411744,0,0,65.0,-5.557317321839051,0,44.44268267816095,54.25617227330112,0,50.0,-0.07886435331229415,0,49.68454258675082,13.1457652853571,0,1,15.365059200794395,16.285579987442926,35.0,4.0,40.0,50.0,0,0.1215745312,0,1,70.0,1,1.109263657957245,0.8717339667458434,70.0,0.11839575204640948,1,7.013974581060458,70.0,-27.766563004217893,-31.821116948187566,1,65.0,-0.10998768418971396,0,39.001231581028605,55.56335998740143,0,0,50.0,-0.10914387081245586,0,30.0,0.9385798556274701,0.060614032999596244,65.0,0.4103231519057021,0.023727764028995842,65.0,0.0009957237195433034,1,65.0,0.000810336132031737,1,60.0,0.29726732511912307,0.0003887625115851739,65.0,0.12945833333333331,0.12252833333333335,0.12599333333333335,0,0,55.0,0.1311,0.1207,0.1259,0,0,50.0,2.6590290284143885,44.681941943171225,23.829131664959846,0,50.0,ALICEUSDT,60,0
39.18918918918924,47.29729729729734,0,0,0,45.0,6.563435005045626,26.017183179226542,0,65.0,-60.81081081081076,0,0,50.0,-117.01828410689116,1,0,60.0,-0.0013126470588235017,0,0,50.0,-7.051646463554589,0,42.94835353644541,46.33937361938938,0,50.0,-0.15987210231813898,0,49.36051159072744,13.687635356464568,0,1,12.72577507989027,19.168552262610252,35.0,0.0,16.0,50.0,0,0.1294,1,0,30.0,0,0.9413202933985334,1.0268948655256722,35.0,0.1151189835632959,1,8.496440929159347,70.0,-11.584675992522744,-22.019567411734684,1,65.0,-0.07972483624426821,0,42.02751637557318,41.9252050919961,0,0,50.0,0.060314858185932546,1,55.0,1.2243143978505604,-0.08451491720290362,35.0,0.5458787181542599,-0.040763857397948584,35.0,-0.0011687209581587876,0,35.0,-0.003097942067365287,0,40.0,0.41226686816896924,-0.0006182876710631489,35.0,0.12900166666666665,0.12297166666666666,0.12598666666666666,0,0,50.0,0.1296,0.1217,0.12564999999999998,0,0,50.0,1.8732612220365266,46.25347755592695,24.532400369568045,0,50.0,ALICEUSDT,66,0
60.4938271604937,52.00540507339843,1,0,0,55.0,100.0,56.94440618412654,1,35.0,-39.5061728395063,0,0,50.0,150.05436752446457,0,1,40.0,-0.0006999999999999784,0,0,65.0,-4.4734796875772105,0,45.52652031242279,53.521416253123455,0,50.0,0.710339384372521,1,52.84135753749008,14.228420851727352,0,1,20.378776882964512,11.730089992827141,55.0,100.0,0.0,70.0,1,0.1227,0,1,70.0,1,0.9666666666666667,0.9422222222222224,65.0,0.11760406929386152,1,8.499646964733232,70.0,-12.240568127977712,-13.802809884825914,1,65.0,-0.07157050837034501,0,42.842949162965496,68.68699969599868,0,0,50.0,0.02685380163826281,1,55.0,1.2057711040409484,0.0649831028339454,65.0,0.3792363087150506,-0.006795498323671524,35.0,0.006250962293461875,1,65.0,0.000845813608055193,1,60.0,0.2827873144094337,0.0008453513056244498,65.0,0.12876333333333334,0.12256333333333333,0.12566333333333335,0,0,55.0,0.1308,0.122,0.1264,0,0,50.0,2.0372507516258307,45.92549849674834,24.09820122638611,0,50.0,ALICEUSDT,72,0
29.57746478873245,13.920899132166772,1,0,0,55.0,41.376916127861314,4.989071336820567,1,60.0,-70.42253521126756,0,0,50.0,-123.14669457526588,1,0,60.0,-0.0048117647058823765,0,0,50.0,-19.93544999440228,0,30.06455000559772,43.27028437730047,0,50.0,-3.2826261008806985,0,36.86949559647721,14.751458951019133,0,1,18.044622460606938,19.409604811031695,35.0,76.0,96.0,50.0,0,0.12831339584,1,0,30.0,0,0.8686679174484052,1.0881801125703565,35.0,0.10854130938959905,1,11.294032363659362,70.0,-27.728697738860376,-17.968710552388874,0,35.0,-0.12353938574718729,0,37.646061425281275,50.03102947462245,0,0,50.0,-0.09516088223353357,0,45.0,0.7819997949184945,0.05088723724976739,65.0,0.21235560324724267,-0.06808173014032085,35.0,-0.0040946657574308706,0,35.0,0.004152674771490647,1,60.0,0.21148179293583916,-0.004024671381062457,35.0,0.127805,0.12076500000000001,0.124285,0,0,50.0,0.1308,0.1166,0.1237,0,0,50.0,4.223462692444074,41.55307461511185,25.17350484520981,0,50.0,ALICEUSDT,78,1
47.88732394366196,48.826291079812194,0,0,0,45.0,74.62360570147536,67.38458886796693,1,60.0,-52.112676056338046,0,0,50.0,40.008164931618545,0,0,50.0,-0.0013717647058823779,0,0,65.0,-9.179422032956952,0,40.82057796704305,52.966400843061884,0,50.0,-3.2915360501567363,0,36.833855799373055,13.283981523858062,0,1,22.92709519987112,14.310971575687281,55.0,52.0,72.0,35.0,0,0.11680399999999999,0,1,70.0,1,0.988486842105263,0.9638157894736845,65.0,0.11301802615331791,1,9.186122072772815,70.0,-30.392660503007217,-29.854313219628537,0,35.0,-0.13722457001866453,0,36.27754299813355,62.169966073183716,0,0,50.0,-0.06547806339884449,0,45.0,0.6939759833166651,9.10253636313071e-05,65.0,0.19246898556111294,0.003625522940409305,65.0,0.0007633216549890984,1,65.0,0.0018828787249786387,1,60.0,0.1922146547919654,0.0011239476863694577,65.0,0.12712666666666667,0.11932666666666666,0.12322666666666666,0,0,55.0,0.1308,0.1166,0.1237,0,0,50.0,4.609732195904323,40.78053560819136,25.894328434905788,0,50.0,ALICEUSDT,84,0
66.6666666666667,66.95906432748538,0,0,0,45.0,76.77038094262144,83.09241875840758,0,40.0,-33.33333333333329,0,0,50.0,42.31166150670797,0,0,50.0,0.0007770588235294223,1,1,70.0,-1.0794049709955906,0,48.92059502900441,40.00956857437108,0,50.0,2.814569536423841,1,61.258278145695364,19.512332401730834,0,1,21.00997091563413,10.374624349983224,55.0,28.000000000000004,48.0,50.0,0,0.11954434962998886,0,1,70.0,1,1.1115384615384616,0.8980769230769233,70.0,0.11378700663694544,1,9.151302658201379,70.0,-12.63036541725405,-24.135097908136547,1,65.0,-0.06483433389316241,0,43.51656661068376,55.74199578445834,0,0,50.0,-0.10378890937735674,0,30.0,0.6092042355906337,-0.03527864245460491,35.0,0.12626346439688568,-0.023960979084558878,35.0,-0.0005726547351586151,0,35.0,-0.0005815322418274763,0,40.0,0.18164884419916794,0.0003193165005271205,65.0,0.1272,0.1192,0.1232,0,0,55.0,0.1308,0.1166,0.1237,0,0,50.0,3.800115718466475,42.39976856306705,25.972511490884223,0,50.0,ALICEUSDT,90,0
27.058823529411864,35.294117647058876,0,0,0,45.0,2.681399582085337,36.32661414452187,0,65.0,-72.94117647058813,0,0,50.0,-47.36211031175043,0,0,50.0,0.0001452941176470629,1,0,60.0,-3.3684889911252918,0,46.63151100887471,37.34419979092063,0,50.0,-1.2965964343597975,0,44.81361426256081,22.195112100017763,0,0,18.333280811726397,13.189232401930054,65.0,4.0,24.0,50.0,0,0.12787,1,0,30.0,0,1.0297619047619049,0.9781746031746031,70.0,0.11218630804414492,1,8.56939864004806,70.0,-0.7597582965819721,-7.949791484750731,1,65.0,-0.024221894268727246,0,47.57781057312727,43.920714362232914,0,0,50.0,-0.15896628633963888,0,30.0,0.9292624545795592,-0.050895377967206085,35.0,0.1157220295055114,-0.0769366188902854,35.0,-0.0023636072941763753,0,35.0,-0.0009067183571996055,0,40.0,0.28646980017552715,-0.0006458533047850731,35.0,0.12679833333333332,0.11970833333333333,0.12325333333333335,0,0,50.0,0.128,0.1166,0.12229999999999999,0,0,50.0,2.38865470130198,45.22269059739604,25.589953828427277,0,50.0,ALICEUSDT,96,1
27.878787878787918,23.03030303030307,1,0,0,55.0,40.49169859736517,42.775810269323195,0,40.0,-72.12121212121208,0,0,50.0,-10.593295652483773,0,0,50.0,0.003302941176470578,1,0,60.0,4.296598806599206,1,54.29659880659921,39.07556940611765,0,50.0,1.2077294685990347,1,54.830917874396135,26.809890364832892,1,0,24.78884532902276,17.25851302696962,75.0,84.0,0.0,70.0,1,0.137272,1,0,30.0,0,0.9771341463414633,1.0137195121951221,35.0,0.11010686223328843,1,14.161821934107689,70.0,12.027898141696182,6.636164423922982,1,70.0,0.04340876647237151,1,54.34087664723715,60.00745006740317,0,0,50.0,-0.3156246604003053,0,30.0,0.1841385149844873,-0.21498926162327098,35.0,-0.19068290525510306,-0.2460802425048343,35.0,0.0050279504348633135,1,65.0,0.0006492811808047222,1,60.0,0.13701355461160802,0.005566122623215265,65.0,0.12969333333333333,0.12060333333333333,0.12514833333333336,0,0,55.0,0.1376,0.1195,0.12855,0,0,50.0,2.990918941485571,44.01816211702886,26.03102752829746,0,50.0,ALICEUSDT,102,0
11.637931034482733,9.316091954022989,1,0,1,75.0,13.05430007219474,8.591346599733535,1,85.0,-88.36206896551725,1,0,70.0,-203.4299231224126,1,0,70.0,-0.002736176470588214,0,0,50.0,-9.701920923376639,0,40.29807907662336,44.26086944222624,0,50.0,-3.85878489326766,0,34.56486042692936,21.400191990261167,0,0,15.238954220601677,22.610466636413868,45.0,60.0,96.0,35.0,0,0.1328635072942244,1,0,30.0,0,0.8901960784313725,1.0627450980392155,35.0,0.10256583517212103,1,14.17057132473833,70.0,-4.750940223513385,9.957196295523605,0,35.0,-0.011042642730347638,0,48.895735726965235,53.9545362494957,0,0,50.0,-0.3334462349510842,0,30.0,0.08771455623498929,-0.10292614117912237,35.0,-0.21498403370735988,-0.011377327317212305,35.0,-0.004875048095840472,0,35.0,-0.0017905720413449802,0,40.0,0.12911772600564395,-0.002499544355143908,35.0,0.12897833333333333,0.11944833333333334,0.12421333333333333,0,1,35.0,0.1376,0.1144,0.126,0,0,50.0,5.857131217810793,38.285737564378415,26.004329180844028,0,50.0,ALICEUSDT,108,0
21.0144927536232,31.016735679779156,0,0,0,45.0,33.57511208341319,46.62685105983378,0,40.0,-78.98550724637681,0,0,50.0,-98.01385681293303,0,0,50.0,-0.004900882352941158,0,0,65.0,-14.040837058552214,0,35.95916294144779,45.85640242630867,0,50.0,-7.557677008751002,0,19.769291964995993,19.987385201793774,0,1,13.276912926061357,20.799186910895607,35.0,36.0,80.0,35.0,0,0.12397985410839321,1,0,30.0,0,0.8532526475037819,1.1573373676248107,35.0,0.10366057545970717,1,12.096618685246352,70.0,-37.446541296463984,-14.21972515986284,0,35.0,-0.14710849401167136,0,35.28915059883286,18.788685440464974,1,0,75.0,-0.3124978088540492,0,30.0,-0.01300914897971901,-0.05796431762794919,35.0,-0.2319408667629151,-0.02998983619990537,35.0,-0.005941307788280595,0,35.0,-0.0028894558812403276,0,40.0,0.12569308804709758,-0.0011236229366502835,35.0,0.12734333333333334,0.11713333333333334,0.12223833333333334,0,1,35.0,0.1376,0.1133,0.12545,0,0,50.0,7.821356786452674,34.35728642709465,25.880046607103345,0,50.0,ALICEUSDT,114,0
