indicator,pearson_r,chi_p,chi_sig,wr_top25,wr_bot25,wr_diff,combined_score,top25_mean,bot25_mean
ex_ulcer_score,-0.11575371786881847,0.08988477847477556,False,0.17094017094017094,0.358974358974359,-0.18803418803418803,0.45818803224556326,46.6343136496878,22.63684589944192
ex_cmf,-0.12190539183221773,0.015329265404043432,True,0.1752136752136752,0.3247863247863248,-0.1495726495726496,0.45163095758657196,0.09652501430815315,-0.2659897838919236
ex_ulcer,0.06697603649978244,0.09790600579022041,False,0.358974358974359,0.17094017094017094,0.18803418803418803,0.44114835964021903,15.139070683965596,1.6828431751561015
ex_uo,-0.11047820872040036,0.015329265404043432,True,0.18803418803418803,0.3162393162393162,-0.1282051282051282,0.43110878555900967,58.12085223622234,35.236176955402264
ex_obv_norm,-0.044611116190260966,0.02267864214619735,True,0.21794871794871795,0.3418803418803419,-0.12393162393162394,0.40572504135851817,0.9191991916644611,-1.4108880084882018
ex_stoch_k,-0.0895252780115144,0.08988477847477556,False,0.20512820512820512,0.32051282051282054,-0.11538461538461542,0.39219984216871395,79.07752209018487,10.337373768334139
ex_williams_r,-0.08952527801151437,0.08988477847477556,False,0.20512820512820512,0.32051282051282054,-0.11538461538461542,0.39219984216871395,-20.922477909815132,-89.66262623166587
ex_tsi,-0.1008191357528996,0.12106810042172926,False,0.25213675213675213,0.3717948717948718,-0.11965811965811968,0.38965180632584684,16.5619659136973,-29.177629165845627
ex_tsi_score,-0.10069708556235647,0.12106810042172926,False,0.25213675213675213,0.3717948717948718,-0.11965811965811968,0.38961519126868394,66.20567809067823,20.96506853762131
ex_roc_score,-0.082260849632329,0.006609490072066313,True,0.24358974358974358,0.3247863247863248,-0.08119658119658121,0.38765267282534377,78.40337062425941,16.52255483696006
ex_roc,-0.0802006589393441,0.006609490072066313,True,0.24358974358974358,0.3247863247863248,-0.08119658119658121,0.38703461561744834,16.973481385008405,-11.639664958285849
ex_ao,0.006678570067305044,0.046877472617508166,True,0.23931623931623933,0.358974358974359,-0.11965811965811965,0.3836668249614347,0.02582318232780292,-0.022882982993966815
ex_force_norm,-0.07419409460727822,0.0005723193171045647,True,0.2606837606837607,0.33760683760683763,-0.07692307692307693,0.3836249941255136,0.02615967692084627,-0.01306018194242534
ex_supertrend,-0.14031580330601004,0.1601384480032866,False,0.19230769230769232,0.2905982905982906,-0.0982905982905983,0.37268568522329565,0.4403167146599546,0.0022169994036336997
ex_dc_lower,-0.1385325795437919,0.12106810042172926,False,0.19658119658119658,0.2777777777777778,-0.08119658119658121,0.3701966086938838,0.4454371794871794,0.004269576923076924
ex_trix,-0.062457250309472606,0.12106810042172926,False,0.2564102564102564,0.358974358974359,-0.10256410256410259,0.3644680270176051,0.5576806568721233,-0.6117064755247139
ex_cci,-0.08510592969603968,0.06551821207305424,False,0.20512820512820512,0.2777777777777778,-0.07264957264957267,0.36399597340655376,141.26871231060213,-147.8636662778024
ex_trix_score,-0.058694650838801016,0.12106810042172926,False,0.2564102564102564,0.358974358974359,-0.10256410256410259,0.36333924717640365,75.4041900890958,12.062901773228395
ex_ad_norm,0.005884700443973973,0.02267864214619735,True,0.1581196581196581,0.24358974358974358,-0.08547008547008547,0.3633378858654014,-0.018227702044118905,-2.5049723147804563
ex_kc_lower,-0.1331083978173031,0.1601384480032866,False,0.19658119658119658,0.2777777777777778,-0.08119658119658121,0.3568482499014699,0.4798579843304843,0.0044503450854700855
ex_williams_score,0.0796971653769576,0.006028738447774832,True,0.3107569721115538,0.2697947214076246,0.04096225070392917,0.3548703286418981,70.0,46.80351906158358
ex_cmf_score,-0.11077828569804853,0.08471972397764727,False,0.2556237218813906,0.30855855855855857,-0.052934836677167973,0.35016543785785476,52.034764826175866,30.0
ex_vpt_slope_norm,-0.0650832662162116,0.046877472617508166,True,0.24358974358974358,0.29914529914529914,-0.05555555555555555,0.3499061825240554,0.0076419887481892984,-0.004191559208953048
ex_kc_upper,-0.12037783780867972,0.20806421057759594,False,0.19230769230769232,0.2863247863247863,-0.09401709401709399,0.34890776338300034,0.5374877991452992,0.004831632122507123
ex_kc_mid,-0.12693357381965675,0.20806421057759594,False,0.19658119658119658,0.28205128205128205,-0.08547008547008547,0.3440368773486866,0.5086160541310543,0.004641740598290599
ex_kst,-0.06485674381864966,0.12106810042172926,False,0.28205128205128205,0.3547008547008547,-0.07264957264957267,0.34125625113873426,183.96335839724134,-126.397785060063
ex_dc_mid,-0.12491339570646472,0.2320666714142418,False,0.19658119658119658,0.2863247863247863,-0.08974358974358973,0.33964888908253865,0.523459188034188,0.004696598290598291
ex_dc_upper,-0.10772312130673653,0.21646437748311761,False,0.19658119658119658,0.2863247863247863,-0.08974358974358973,0.33917249494195745,0.6024769230769231,0.005120700854700854
ex_kc_score,-0.08216672383236451,0.16390532389144935,False,0.24050632911392406,0.3170731707317073,-0.07656684161778327,0.3367318932765011,60.35443037974684,35.0
ex_cci_score,0.06628149400607061,0.0032008320349603417,True,0.30051150895140666,0.2793914246196404,0.021120084331766265,0.33582026605674603,53.05626598465473,47.41355463347165
ex_aroon_down,0.055213489255758266,0.0878752131893265,False,0.29615384615384616,0.251063829787234,0.04509001636661214,0.3262734959132192,93.9076923076923,6.195744680851064
