symbol,label,composite_v1,peak,dd,final,pattern_score,patterns,rsi_value,rsi_divergence,macd_hist,macd_divergence,ema_alignment,rvol,volume_spike,vwap_distance_pct,price_above_vwap,atr_pct,atr_expanding,bb_squeeze,bb_breakout_above,momentum_1_pct,momentum_3_pct,momentum_6_pct,momentum_12_pct,momentum_acceleration,higher_highs,higher_lows,bos_up,in_range,candle_strength,big_wick_top,power_streak,mtf_alignment,btc_state,btc_momentum_12_pct
BTCUSDT,0,64.49219570819687,1.8715136325723054,-0.091254267409213,1.0688375585593104,0.0,[],64.48744923144314,-1.0,190.83634902652773,-1.0,0.0,1.745,0.0,2.891965673450169,1.0,1.3529600302445444,0.0,0.0,1.0,0.6337727298292005,3.986550611820524,2.534634924169,4.24335871554754,5.382803953343018,0.0,1.0,0.0,0.0,0.7495483168184125,0.0,0.0,0.49501716598668116,1.0,2.205346140478376
BTCUSDT,0,74.03277064588738,0.2521794963978907,-2.2900007442644226,-1.9255382356391566,0.0,[],69.8498945018632,-1.0,334.3723961883517,-1.0,0.0,1.983,0.0,3.987157048685884,1.0,1.302168280641712,0.0,0.0,1.0,1.2425287356321764,2.2592705918411236,4.533877323888223,4.696621369347886,0.03491800367726716,0.0,1.0,1.0,0.0,0.6862500154998987,0.0,2.0,0.5616365646940303,1.0,2.205346140478376
BTCUSDT,0,54.31802152079202,0.5068034924812271,-1.2845263956474855,-0.6058208276140242,0.0,[],60.72057455222546,0.0,275.54359118961963,-1.0,0.0,0.635,0.0,2.2436214833397075,1.0,1.2781150151813827,0.0,0.0,0.0,-0.8477091345196528,-0.15551724137931555,2.4131161972407593,3.0817907524125743,-2.7281515699379417,0.0,1.0,0.0,0.0,0.5541968484565157,0.0,0.0,0.5025166213563125,1.0,2.205346140478376
BTCUSDT,0,61.78570258231278,0.7865354680884191,-1.3947846092326315,-0.41589465846990203,0.0,[],59.105304536471095,0.0,138.60043759083578,-1.0,0.0,0.617,0.0,1.7046454987552473,1.0,1.2595196832146327,0.0,0.0,0.0,0.38862214580288906,-1.012104260144563,0.045915547950543735,2.581714263633522,-2.0809418187038733,1.0,1.0,0.0,0.0,0.42853375611020317,0.0,0.0,0.5016361562657076,1.0,2.205346140478376
BTCUSDT,0,65.52546434953598,0.24354158043788066,-1.8076276692223496,-0.8151778665002086,0.0,[],60.23024268944038,0.0,62.88249465061688,0.0,0.0,1.083,0.0,1.7104077123291932,1.0,1.2830325773376172,0.0,0.0,0.0,0.8650065935598855,0.810699186728341,-1.1304493717272859,3.3521747644381565,2.7362374223674975,1.0,1.0,1.0,0.0,0.5319889571889616,0.0,0.0,0.4869815810803883,1.0,2.205346140478376
BTCUSDT,0,60.71641497415831,0.3963455501436454,-1.0803569295046291,-0.021991510842359716,0.0,[],58.253842857596624,0.0,-2.088906883067011,0.0,0.0,0.399,0.0,1.2562209682630088,1.0,1.3019925002284425,0.0,0.0,0.0,0.6863516177304883,0.71148931833002,0.1013581402393035,2.5169202271793996,1.3173101459440444,1.0,1.0,0.0,0.0,0.647590076553749,0.0,1.0,0.7454767838473059,1.0,2.205346140478376
BTCUSDT,0,41.693507475605934,1.0615807231386105,-0.36185392955258294,-0.02027185667409756,0.0,[],53.625645426293424,0.0,-84.10522142624336,0.0,0.0,0.751,0.0,0.19845347580220296,1.0,1.2721188679909134,0.0,0.0,0.0,-0.11996730035627344,-0.10218206703436719,-0.5176517557455591,-0.4719738904351416,0.31371259143553487,0.0,1.0,0.0,0.0,0.4727522973570767,1.0,0.0,0.7260986959749286,1.0,2.205346140478376
BTCUSDT,0,46.00648357374506,0.027755484687505327,-0.9925212679925351,-0.4607461714794297,0.0,[],55.74434238465388,0.0,-78.09152135968543,0.0,0.0,1.017,0.0,0.4946300411415094,1.0,1.2545866642738053,0.0,0.0,0.0,-0.25770619882908125,0.3869157688307547,-0.43141614937896144,-1.5569885799560625,1.2020936353309633,0.0,1.0,0.0,1.0,0.450045728107084,0.0,0.0,0.7329732781356679,1.0,2.205346140478376
BTCUSDT,0,40.35425797827649,0.5788309275964945,-0.16426230727588667,0.31660526631155483,0.0,[],50.91911582940491,0.0,-142.03991798119387,0.0,0.0,0.474,0.0,-0.4892270269926443,0.0,1.1953143889491582,0.0,0.0,0.0,-0.24698291936568745,-1.0265047687724957,-1.0482705357073334,-0.9479749029876996,-1.0045132579301361,0.0,1.0,0.0,1.0,0.40872402944773023,0.0,0.0,0.26977073821862385,1.0,2.205346140478376
BTCUSDT,0,42.22623546081157,0.4956956784400094,-0.4633993959833895,-0.22087405636919727,0.0,[],51.24173845651715,0.0,-154.15615750122817,0.0,0.0,0.366,0.0,-0.6631835078597857,0.0,1.0864332236775702,0.0,1.0,0.0,-0.22900634623974508,-0.16446205244572448,-0.18470056960826697,-0.701396219612377,-0.14419019577162692,0.0,1.0,0.0,1.0,0.5349627323522395,0.0,0.0,0.5628087385964452,1.0,2.205346140478376
