symbol,long_score,short_score,peak,dd,pump_5,pump_10,dump_5,dump_10
OPNUSDT,21.0,19.004657345125644,1.176470588235287,-2.7941176470588216,0,0,0,0
OPNUSDT,1.0,30.611207383321265,19.12650602409639,-1.0542168674698889,1,1,0,0
OPNUSDT,6.0,0.0,0.1497005988023995,-3.8922155688622833,0,0,0,0
OPNUSDT,17.0,0.0,4.711246200607911,-1.2158054711246127,0,0,0,0
OPNUSDT,24.249045086441434,19.553836296652285,0.8836524300441875,-2.945508100147278,0,0,0,0
OPNUSDT,26.0,26.27910930787359,0.8915304606240763,-9.36106983655275,0,0,1,0
OPNUSDT,29.326949469744232,28.675353218210518,1.6313213703099527,-4.4045676998368695,0,0,0,0
OPNUSDT,37.47213140521849,3.020092576546327,1.0135135135135074,-5.405405405405408,0,0,1,0
OPNUSDT,1.0,36.64294222027765,4.687500000000002,0.0,0,0,0,0
OPNUSDT,1.0,33.0,6.791171477079791,-0.5093378607809875,1,0,0,0
OPNUSDT,54.0,12.556228153797301,1.6103059581320462,-2.0933977455716626,0,0,0,0
OPNUSDT,15.053187912411161,20.099870633893907,8.36012861736335,-1.6077170418006448,1,0,0,0
OPNUSDT,18.0,19.097124124051128,12.462462462462442,-1.651651651651657,1,1,0,0
OPNUSDT,57.30258669651194,11.0,2.790014684287831,-7.635829662261376,0,0,1,0
OPNUSDT,16.0,51.58111809247622,3.276131045241795,-2.0280811232449443,0,0,0,0
HYPERUSDT,18.0,11.20349009168871,0.25284450063210095,-4.67762326169407,0,0,0,0
HYPERUSDT,22.0,7.184463965336274,2.638522427440617,-3.562005277044865,0,0,0,0
HYPERUSDT,18.0,17.68840494459768,1.0596026490066346,-3.178807947019867,0,0,0,0
HYPERUSDT,22.0,6.521959209673242,3.2742155525238736,-2.5920873124147326,0,0,0,0
HYPERUSDT,24.1994887851128,12.0,1.356852103120761,-2.442333785617362,0,0,0,0
HYPERUSDT,26.337381695872185,15.0,2.2160664819944658,-1.1080332409972231,0,0,0,0
HYPERUSDT,24.0,20.0,0.1379310344827626,-5.379310344827588,0,0,1,0
HYPERUSDT,13.0,13.875623050236442,2.442528735632194,-4.885057471264369,0,0,0,0
HYPERUSDT,25.0,12.0,2.5373134328358105,-2.3880597014925438,0,0,0,0
HYPERUSDT,17.0,6.429593296546127,1.1695906432748466,-3.216374269005859,0,0,0,0
HYPERUSDT,28.343637429839916,17.0,1.49476831091181,-1.3452914798206248,0,0,0,0
