symbol,ts,label,composite,sub_scores
DOGEUSDT,2026-04-22 12:00:00+00:00,0,59.72188452315887,"{'technical': 61.60365611638294, 'momentum': 1.6301526321254158, 'volume': 63.14999999999999, 'vwap': 2.6143749441759208, 'atr_bb': 30.91089391446033, 'structure': 50.0, 'candle': 46.657573343104616, 'mtf': 52.56860169061193, 'pattern': 50.0}"
ETHUSDT,2026-04-22 12:00:00+00:00,0,53.82400011079574,"{'technical': 65.55470932323969, 'momentum': 1.7012040852590535, 'volume': 96.5, 'vwap': 3.1605619801047973, 'atr_bb': 31.789374475295517, 'structure': 50.0, 'candle': 49.22353661328671, 'mtf': 54.19004875855145, 'pattern': 50.0}"
XRPUSDT,2026-04-22 12:00:00+00:00,0,52.56034191233627,"{'technical': 60.24035340871685, 'momentum': 0.9007136423473915, 'volume': 68.8, 'vwap': 1.9352509128700366, 'atr_bb': 27.011625826767425, 'structure': 50.0, 'candle': 46.30690287811013, 'mtf': 51.743385890535485, 'pattern': 50.0}"
HYPERUSDT,2026-04-22 12:00:00+00:00,0,59.88019486821877,"{'technical': 56.82518908911337, 'momentum': 3.0303030303030303, 'volume': 46.650000000000006, 'vwap': 3.281405627092568, 'atr_bb': 48.03533770050685, 'structure': 50.0, 'candle': 52.61756735214416, 'mtf': 63.2655335080393, 'pattern': 50.0}"
DOTUSDT,2026-04-22 12:00:00+00:00,0,56.95311200149269,"{'technical': 57.015647102250206, 'momentum': 0.6971340046475692, 'volume': 54.55, 'vwap': 1.6663248342616812, 'atr_bb': 37.94814651241363, 'structure': 50.0, 'candle': 36.6366366366368, 'mtf': 50.478722562471326, 'pattern': 50.0}"
RECALLUSDT,2026-04-22 12:00:00+00:00,0,57.156653199962946,"{'technical': 49.99008897453383, 'momentum': 0, 'volume': 50.05, 'vwap': 1.1683702310392396, 'atr_bb': 70.42029037377462, 'structure': 50.0, 'candle': 44.136104577740696, 'mtf': 52.873177820580764, 'pattern': 50.0}"
BNBUSDT,2026-04-22 12:00:00+00:00,0,67.99843584702532,"{'technical': 68.54937923151229, 'momentum': 1.4853033145716072, 'volume': 97.8, 'vwap': 2.770480984931344, 'atr_bb': 21.708654767376583, 'structure': 50.0, 'candle': 49.4254703150215, 'mtf': 51.91697871999597, 'pattern': 50.0}"
AVAXUSDT,2026-04-22 12:00:00+00:00,0,55.08013353581404,"{'technical': 57.50906354100473, 'momentum': 0, 'volume': 41.349999999999994, 'vwap': 2.470926488134818, 'atr_bb': 36.01516995788402, 'structure': 50.0, 'candle': 25.34632034632054, 'mtf': 51.88328360224562, 'pattern': 50.0}"
ADAUSDT,2026-04-22 12:00:00+00:00,0,56.09616636125309,"{'technical': 59.304070527467765, 'momentum': 0.31458906802987313, 'volume': 54.949999999999996, 'vwap': 2.4740683131141132, 'atr_bb': 33.73768852899175, 'structure': 50.0, 'candle': 38.63636363636308, 'mtf': 53.68847980544702, 'pattern': 50.0}"
SATSUSDT,2026-04-22 12:00:00+00:00,0,57.36721265620153,"{'technical': 50.14347056523308, 'momentum': 0.8766014834794347, 'volume': 42.5, 'vwap': 1.1261755338772363, 'atr_bb': 100, 'structure': 50.0, 'candle': 42.02590414109779, 'mtf': 52.06639566395662, 'pattern': 50.0}"
TUTUSDT,2026-04-22 12:00:00+00:00,0,37.48883103314126,"{'technical': 49.1529792338973, 'momentum': 0, 'volume': 40.150000000000006, 'vwap': 0.6877438163991144, 'atr_bb': 68.75862881265498, 'structure': 50.0, 'candle': 26.924951267056503, 'mtf': 27.08225709433163, 'pattern': 50.0}"
ACEUSDT,2026-04-22 12:00:00+00:00,0,41.10334926036016,"{'technical': 45.748177196107974, 'momentum': 0, 'volume': 15.9, 'vwap': 0, 'atr_bb': 93.02831244564827, 'structure': 50.0, 'candle': 29.166666666666625, 'mtf': 18.426055468685686, 'pattern': 50.0}"
SOLUSDT,2026-04-22 12:00:00+00:00,0,53.38531558121458,"{'technical': 61.126442193063134, 'momentum': 1.077363896848135, 'volume': 100, 'vwap': 2.498881839372736, 'atr_bb': 31.76588159457183, 'structure': 50.0, 'candle': 39.47314777288851, 'mtf': 53.44858911241687, 'pattern': 50.0}"
WCTUSDT,2026-04-22 12:00:00+00:00,0,58.035873137116354,"{'technical': 54.18117154009873, 'momentum': 0.8333333333333341, 'volume': 50.0, 'vwap': 1.7979670815091373, 'atr_bb': 45.736982707718845, 'structure': 50.0, 'candle': 49.14529914529913, 'mtf': 60.5710785102253, 'pattern': 50.0}"
LINKUSDT,2026-04-22 12:00:00+00:00,0,48.42694698375682,"{'technical': 58.28924977233843, 'momentum': 0, 'volume': 65.55, 'vwap': 1.884306024739739, 'atr_bb': 30.44442642597945, 'structure': 50.0, 'candle': 31.944444444443764, 'mtf': 51.033013833846894, 'pattern': 50.0}"
OPNUSDT,2026-04-22 12:00:00+00:00,1,47.230828334146054,"{'technical': 56.76674411828909, 'momentum': 1.7291066282420764, 'volume': 32.35, 'vwap': 6.469858122939966, 'atr_bb': 81.59964322283238, 'structure': 50.0, 'candle': 28.109243697478988, 'mtf': 75.83668005354752, 'pattern': 50.0}"
BTCUSDT,2026-04-22 12:00:00+00:00,0,71.94319856272142,"{'technical': 69.8498945018632, 'momentum': 2.2592705918411236, 'volume': 99.15, 'vwap': 3.987157048685884, 'atr_bb': 26.043365612834243, 'structure': 50.0, 'candle': 68.62500154998988, 'mtf': 56.16365646940304, 'pattern': 50.0}"
BREVUSDT,2026-04-22 12:00:00+00:00,0,53.00882560446881,"{'technical': 49.03979963779088, 'momentum': 0, 'volume': 54.800000000000004, 'vwap': 0.5471767101873655, 'atr_bb': 47.655007400149955, 'structure': 50.0, 'candle': 32.249694749694655, 'mtf': 33.17318453298617, 'pattern': 50.0}"
