symbol,ts,price,fwd_4h,fwd_12h,ob_obi_5,ob_obi_10,ob_obi_20,ob_spread_pct,ob_depth_1pct,ob_depth_5pct,ob_depth_10pct,ob_bid_vol_5,ob_ask_vol_5,ob_imbalance_5,ob_large_bid_count,ob_large_ask_count,flow_flow_buy_ratio,flow_flow_buy_vol,flow_flow_sell_vol,flow_flow_concentration,flow_flow_avg_size,flow_large_trade_count,whale_score,whale_count,whale_buy_sell_ratio,whale_accumulated,cvd,cvd_trend,spread_pct,taker_buy_ratio,n_trades,pump
EPICUSDT,2026-07-24T00:02:21.116830+00:00,0.6484,0.0,0.0,1.3478266232484706,1.4251488780058932,0.8064232203028099,0.47843197777606167,115958.1,115958.1,115958.1,10927.1,8107.2,1.3478266232484706,2,2,0.2961064180988445,1524.8,3624.7,0.2484707253131372,85.82499999999997,3,0,0,1.0,0,-2099.9,849.2999999999998,0.47843197777606167,0.2961064180988445,60,0
OPNUSDT,2026-07-24T00:02:22.192538+00:00,0.0654,0.0,0.0,1.037531372797495,1.1598661147949485,1.1277318066826305,0.1530221882172959,3999976.8,7954157.899999999,7954157.899999999,1845447.3,1778690.5999999999,1.037531372797495,3,1,0.598448025150509,13210.8,8864.3,0.11579562493488138,367.91833333333335,3,0,0,1.0,0,4346.499999999998,-2014.3000000000002,0.1530221882172959,0.598448025150509,60,0
RECALLUSDT,2026-07-24T00:02:23.177210+00:00,0.03764,0.0,0.0,1.130060921926819,1.0082119667020415,0.6865580475569012,0.05313496280554231,974139.3999999999,974139.3999999999,974139.3999999999,51214.700000000004,45320.299999999996,1.130060921926819,0,4,0.5323066402699664,634572.7,557546.0,0.03239912267125748,19868.645,3,0,0,1.0,0,77026.69999999984,-34670.899999999994,0.05313496280554231,0.5323066402699664,60,0
TLMUSDT,2026-07-24T00:02:24.174629+00:00,0.001673,0.0,0.0,1.2669993518940998,0.983233017165115,1.0973000514008906,0.2390914524805796,42564683.0,60592152.0,60592152.0,9246802.0,7298190.0,1.2669993518940998,2,2,0.44549027361298754,2027894.0,2524156.0,0.14627255851759097,75867.5,3,0,0,1.0,0,-496262.0,-2046732.0,0.2390914524805796,0.44549027361298754,60,0
RESOLVUSDT,2026-07-24T00:02:25.163207+00:00,0.01893,0.0,0.0,0.8839572183419512,1.1193153731733398,1.3412833872331436,0.5260389268805861,6366572.2,9225948.7,9225948.7,2183186.4,2469787.4,0.8839572183419512,2,2,0.6345371254528205,661921.4,381234.9,0.040042033969406116,17385.93833333333,3,0,0,1.0,0,280686.5,163203.1,0.5260389268805861,0.6345371254528205,60,0
TUTUSDT,2026-07-24T00:02:26.150872+00:00,0.01403,-0.07127583749109997,-0.07127583749109997,1.1584949792495156,0.8658796474437517,0.9366841094951515,0.07130124777184547,6679331.0,8719957.0,8719957.0,1029222.0,888413.0,1.1584949792495156,1,3,0.47395247684935193,447632.0,496834.0,0.0565388272314726,15741.1,3,0,0,1.0,0,-49202.0,71410.0,0.07130124777184547,0.47395247684935193,60,0
FIGHTUSDT,2026-07-24T00:02:27.131484+00:00,0.003392,0.0,0.0,0.9836555590955393,0.652835738436281,0.8204012140228897,0.17683465959329098,1857434.0,1857434.0,1857434.0,175366.9,178280.8,0.9836555590955393,1,3,0.5300140844745904,2415351.3,2141794.2,0.034956070636761545,75952.42500000002,3,0,0,1.0,0,273557.0999999996,-113793.3000000001,0.17683465959329098,0.5300140844745904,60,0
