exit_pct,exit_reason,duration_min,max_favorable,max_adverse,symbol,entry_time,direction,entry_price,confidence,atr_pct,mom_3_pct,strategy
0.014,TIMEOUT,964.1,0.017,0.0,USD1USDT,2026-07-19 19:55:56.317476+00:00,LONG,0.9998,58.0,0.0173236885936042,0.0030006901587339,fixed
0.024,TIMEOUT,964.1,0.027,0.0,USDCUSDT,2026-07-19 19:55:56.317476+00:00,LONG,1.00061,58.0,0.0139655098307169,0.0019988206957803,fixed
6.37,TP_HIT,4.1,6.37,0.0,TLMUSDT,2026-07-19 19:55:56.317476+00:00,SHORT,0.002606,51.0,8.233571789501987,22.06088992974237,fixed
7.098,TP_HIT,844.1,7.098,0.0,REUSDT,2026-07-19 19:55:56.317476+00:00,SHORT,0.3973,60.0,5.692796213529491,-6.3854853911404375,fixed
-1.557,TIMEOUT,964.1,0.0,-1.73,WLFIUSDT,2026-07-19 19:55:56.317476+00:00,LONG,0.0578,66.0,1.2012175225331845,1.581722319859399,fixed
-4.209,SL_HIT,844.1,0.82,-4.209,BRUSDT,2026-07-19 19:55:56.317476+00:00,LONG,0.15489,62.0,4.179783850155761,1.4009819967266797,fixed
-4.97,SL_HIT,124.1,0.031,-4.97,SOXLBUSDT,2026-07-19 19:55:56.317476+00:00,SHORT,129.98,60.0,4.435438266288096,-3.640002965379196,fixed
5.671,TP_HIT,844.1,5.671,-2.053,RECALLUSDT,2026-07-19 19:55:56.317476+00:00,LONG,0.03897,82.0,3.324561009889463,4.927302100161547,fixed
5.463,TP_HIT,604.1,5.463,-1.356,BILLUSDT,2026-07-19 19:55:56.317476+00:00,SHORT,0.02508,60.0,11.075207993930295,-5.465510742555597,fixed
5.452,TP_HIT,904.1,5.452,0.0,NBISBUSDT,2026-07-19 19:55:56.317476+00:00,LONG,176.62,63.0,2.8317953831641605,2.991428071607671,fixed
-0.06,TIMEOUT,964.1,0.01,-0.06,FDUSDUSDT,2026-07-19 19:55:56.317476+00:00,LONG,0.9985,74.0,0.0384436587149983,0.0400761446748889,fixed
-3.046,SL_HIT,604.1,0.578,-3.046,XLMUSDT,2026-07-19 19:55:56.317476+00:00,LONG,0.1904,66.0,1.636606689552695,2.0911528150134124,fixed
