symbol,idx,price,fwd_4h,fwd_12h,mtf_mom_5m,mtf_mom_15m,mtf_mom_1h,mtf_mom_4h,mtf_alignment,mtf_mom_divergence,mtf_mom_avg,mtf_vol_rvol_5m,mtf_vol_rvol_15m,mtf_vol_rvol_1h,mtf_vol_rvol_4h,mtf_vol_surge,mtf_atr_5m,mtf_atr_15m,mtf_atr_1h,mtf_atr_4h,mtf_vol_compression,mtf_bb_width_5m,mtf_bb_width_15m,mtf_bb_width_1h,mtf_bb_width_4h,mtf_bb_breakout_5m,mtf_bb_breakout_15m,mtf_bb_breakout_1h,mtf_bb_breakout_4h,mtf_bb_breakout_aligned,mtf_rsi_5m,mtf_rsi_15m,mtf_rsi_1h,mtf_rsi_4h,mtf_rsi_all_oversold,mtf_rsi_all_overbought,mtf_composite_score
EPICUSDT,50,0.454,7.929515418502198,1.9823788546255523,0.4973474801061013,0.0,-1.7057569296375166,-6.967213114754093,0,7.4645605948601945,-2.043905641071377,0.5024451160744117,0.5327519358489303,0.1655060549826753,0.2613299613101332,0,0.6083540318057344,2.655783393235924,2.298234882326793,4.355925811129717,0.13966124727178417,1.5126919783176642,6.847902735574847,23.96742074172308,18.69358661042682,0,0,0,0,0,57.48578380859678,52.72651040483424,50.01169385843811,51.90057150835985,0,0,55.0
EPICUSDT,51,0.49,-2.6530612244897984,-4.4897959183673395,0.4973474801061013,0.0,-0.8830022075055195,4.4776119402985115,0,-3.9802644601924104,1.0229893032247732,0.5024451160744117,1.053798331519967,0.8090254611873333,1.6719394466899657,0,0.6083540318057344,2.0857478721963774,2.0382763019454875,4.665987483569619,0.13038055373014534,1.5126919783176642,4.563775660279116,16.610313999348243,20.229209045242968,0,0,0,0,0,57.48578380859678,53.069392666299805,43.07481917779413,61.310941896137976,0,0,55.0
EPICUSDT,52,0.477,-1.886792452830179,-1.2578616352201268,0.4973474801061013,1.111111111111112,1.495726495726485,3.6956521739130346,1,-3.198304693806933,1.6999593152141834,0.5024451160744117,0.8078507663562107,1.0878454986565562,1.1661923540609052,0,0.6083540318057344,1.6121066135459126,2.7291824156316125,5.13961369726542,0.11836571144041719,1.5126919783176642,4.509498642046999,10.606188222940945,20.47398475207993,0,0,0,0,0,57.48578380859678,58.285327745048114,55.98567396626617,56.9759906156752,0,0,75.0
EPICUSDT,53,0.468,-1.0683760683760692,-1.282051282051283,0.4973474801061013,-1.4519056261343024,3.9647577092510926,3.083700440528637,0,-2.586352960422536,1.5234750009378821,0.5024451160744117,1.1883122763449843,0.7710052589390002,0.49244001932407644,0,0.6083540318057344,2.443675563675444,3.084386681446835,5.154265039185418,0.11802924901624363,1.5126919783176642,3.8656610586276146,8.70571357835238,20.57091166025136,0,0,0,0,0,57.48578380859678,49.89830649772499,53.12534470318324,54.122927665071195,0,0,55.0
EPICUSDT,54,0.463,1.079913606911448,4.967602591792649,0.4973474801061013,3.6021505376343894,-1.4767932489451372,-5.510204081632647,0,6.007551561738748,-0.7218748282093235,0.5024451160744117,1.831254271931762,0.12390683435443925,0.1875977748072203,0,0.6083540318057344,2.123610852937613,2.6409619263384077,4.976635066091342,0.12224204180668138,1.5126919783176642,9.648427794134431,8.702067623511502,20.460646335772402,0,0,0,0,0,57.48578380859678,65.0675523517691,50.451554829568806,52.548608199077584,0,0,55.0
EPICUSDT,55,0.468,0.6410256410256298,14.102564102564102,0.4973474801061013,5.248899424314262,0.21505376344086038,-1.886792452830179,0,2.3841399329362805,1.0186270537577609,0.5024451160744117,1.793828246852794,0.40341268152942933,0.23429833413648024,0,0.6083540318057344,2.2776022638440563,2.2542587674147656,4.785464966850395,0.12712537569909935,1.5126919783176642,12.67103565142554,8.517022432074548,20.600162718583416,0,1,0,0,0,57.48578380859678,73.66987736509064,50.07528551106739,53.98989204887838,0,0,55.0
EPICUSDT,56,0.471,-1.9108280254776968,12.314225053078568,0.4973474801061013,-0.2152317880794649,-0.4228329809725162,0.6410256410256298,0,-0.14367816091952845,0.1250770880199375,0.5024451160744117,0.8211965844481208,0.7442662892623806,0.300711495403281,0,0.6083540318057344,3.689661634374851,2.1039529624597986,4.566995580575947,0.13320661714522933,1.5126919783176642,11.33392285227006,5.880088182183419,20.689484915967032,0,0,0,0,0,57.48578380859678,51.918258587628344,52.44989345469266,54.87551478843791,0,0,55.0
EPICUSDT,57,0.462,5.194805194805187,18.398268398268403,0.4973474801061013,1.7429193899782074,-1.0615711252653819,-0.2159827213822896,0,0.7133302014883909,0.2406782558591593,0.5024451160744117,0.39908465149028566,1.4109539715887214,0.5451168028303318,0,0.6083540318057344,2.33272571931866,1.9716704940618175,4.570765915254564,0.13309673763327098,1.5126919783176642,3.8904388703465203,4.3330076498513606,20.70939070569321,0,0,0,0,0,57.48578380859678,55.56966524312223,48.34017036244629,51.662749766553716,0,0,55.0
EPICUSDT,58,0.486,9.876543209876552,27.983539094650205,0.4973474801061013,-0.808314087759818,6.318082788671017,3.8461538461538374,0,-3.348806366047736,2.4633175067927846,0.5024451160744117,1.2274930985030943,2.140638547719527,1.4773884044596022,0,0.6083540318057344,1.5781586877950633,2.1371945078968975,4.563788960467212,0.13330021109114892,1.5126919783176642,2.1011265485102846,5.274216552098589,21.3706532123316,0,0,1,0,0,57.48578380859678,49.43697964260082,62.32724864732664,58.620090970919364,0,0,55.0
EPICUSDT,59,0.534,-0.936329588014982,22.659176029962545,0.4973474801061013,-0.6650041562759773,11.042944785276083,13.375796178343963,0,-12.878448698237861,6.062771071862542,0.5024451160744117,1.2475453197525046,5.833100910567635,2.8451970247595413,0,0.6083540318057344,1.40636461651323,2.3931969923300236,4.632693773706775,0.13131755767206038,1.5126919783176642,2.3977649345463723,15.186407988774473,25.447945995839145,0,0,1,1,0,57.48578380859678,46.16100983431324,78.81868432184915,68.41253012069747,0,0,55.0
EPICUSDT,60,0.529,3.4026465028355415,19.470699432892243,0.4973474801061013,0.16837851490149872,1.5267175572519098,14.502164502164502,1,-14.0048170220584,4.173652013606003,0.5024451160744117,0.7059376318118286,0.4437911567005858,0.9649919260228312,0,0.6083540318057344,1.4994562619322753,2.5598615864346663,4.612497998524498,0.1318925302515778,1.5126919783176642,2.501394776815482,21.952584866972234,27.60767809165854,0,0,0,0,0,57.48578380859678,45.66960232875925,68.6981613431924,66.64335170887142,0,0,75.0
EPICUSDT,61,0.547,13.711151736745878,26.14259597806214,0.4973474801061013,-0.6752305665349132,2.079395085066164,12.551440329218119,0,-12.054092849112017,3.6132380819638676,0.5024451160744117,0.7019533857375205,0.43776106544661914,0.8327369452463589,0,0.6083540318057344,1.3547446582674378,2.5505139641722097,4.546898502984196,0.13379538412974532,1.5126919783176642,2.657173093398504,24.029257391799124,29.793490268506233,0,0,0,1,0,57.48578380859678,50.72813688405794,70.26969823260048,69.68291126969447,0,0,55.0
EPICUSDT,62,0.622,5.3054662379421265,17.684887459807072,0.4973474801061013,0.2643754130865905,5.185185185185169,16.479400749063664,1,-15.982053268957563,5.606577206860381,0.5024451160744117,0.1378734165556224,3.802083449557474,3.606848211759072,0,0.6083540318057344,1.1788854516494958,2.853153168216209,4.723586960808523,0.12879069166149198,1.5126919783176642,1.9318306340870017,24.662162679795376,38.1844327312917,0,0,0,1,0,57.48578380859678,54.80540936809077,76.83842587142642,78.48150963645571,0,0,75.0
EPICUSDT,63,0.655,-3.511450381679392,10.992366412213734,0.4973474801061013,0.2643754130865905,2.8006589785831983,23.81852551984877,1,-23.32117803974267,6.845226847906165,0.5024451160744117,0.1378734165556224,1.990111193822892,2.8092559300519393,0,0.6083540318057344,1.1788854516494958,3.7167047258143806,5.015804161951769,0.12128743710141375,1.5126919783176642,1.9318306340870017,29.266098849192367,46.48545975935495,0,0,0,1,0,57.48578380859678,54.80540936809077,81.79729022125531,81.08296525060602,0,0,75.0
EPICUSDT,64,0.632,9.177215189873408,7.120253164556968,0.4973474801061013,0.2643754130865905,3.8759689922480653,15.539305301645332,1,-15.04195782153923,5.044249296771522,0.5024451160744117,0.1378734165556224,1.6650073659782754,2.7858122143882422,0,0.6083540318057344,1.1788854516494958,3.8069200602270183,5.810304299165836,0.10470261116841567,1.5126919783176642,1.9318306340870017,35.49178241432601,49.496700551653234,0,0,0,1,0,57.48578380859678,54.80540936809077,86.32940111265097,74.33751079292622,0,0,75.0
EPICUSDT,65,0.69,6.086956521739136,-22.89855072463767,0.4973474801061013,0.2643754130865905,13.56783919597991,10.932475884244365,1,-10.435128404138263,6.3155094933542415,0.5024451160744117,0.1378734165556224,1.3054993060541291,2.043472581696178,0,0.6083540318057344,1.1788854516494958,4.925539082662229,5.8320352093112335,0.10431247582909936,1.5126919783176642,1.9318306340870017,35.2568980528428,54.93708304059871,0,0,0,1,0,57.48578380859678,54.80540936809077,67.74628959445548,79.06685491823163,0,0,75.0
EPICUSDT,66,0.732,-0.683060109289618,-40.7103825136612,0.4973474801061013,0.2643754130865905,2.020202020202022,11.755725190839687,1,-11.258377710733585,3.6344125260586004,0.5024451160744117,0.1378734165556224,0.4799675666857762,0.9751942570555681,0,0.6083540318057344,1.1788854516494958,4.831765868257943,5.670702168961921,0.10728019452961321,1.5126919783176642,1.9318306340870017,32.31940210966082,64.05588711050636,0,0,0,1,0,57.48578380859678,54.80540936809077,70.99752663862519,81.69726843107975,0,0,75.0
EPICUSDT,67,0.727,-6.877579092159551,-45.529573590096284,0.4973474801061013,0.2643754130865905,0.14104372355430195,15.03164556962025,1,-14.534298089514149,3.9836030465918113,0.5024451160744117,0.1378734165556224,0.27805413921435707,0.7495346537780333,0,0.6083540318057344,1.1788854516494958,4.5808504792994045,5.635920793853572,0.10794226073389708,1.5126919783176642,1.9318306340870017,24.394867278357726,69.69830617810709,0,0,0,0,0,57.48578380859678,54.80540936809077,66.62165760695646,80.40199409461302,0,0,75.0
