signal_id,ts_entry,symbol,direction,entry_price,tp_price,sl_price,initial_sl_price,tp_pct,sl_pct,max_hold_hours,trailing_pct,use_trailing,use_scaled,tp1_price,tp1_hit,score_long,score_short,confidence,n_long_signals,n_short_signals,f_momentum_3_pct,f_momentum_6_pct,f_rvol,f_atr_pct,f_a_ichi_above_cloud,f_a_ichi_below_cloud,f_a_fib_dist_0.618,f_a_fib_distance_pct,f_volume_spike,f_m_5m_volume_spike,btc_state,btc_momentum_12_pct,market_regime,status,current_price,current_pct,highest_pct,lowest_pct,current_trailing_sl,ts_last_check,ts_exit,exit_price,exit_pct,exit_reason,num_checks,size_remaining,partial_pnl,m_obi_10_at_entry,m_cvd_at_entry,m_5m_rvol_at_entry,m_spread_pct_at_entry,position_size,entry_mode
LABUSDT_LONG_1784853431,2026-07-24T00:37:11.324471+00:00,LABUSDT,LONG,0.1528,0.165024,0.147834,0.147834,8.0,3.25,6.0,3.0,1,0,0.157384,0,50.0,0,100.0,1,0,0.3942181340341586,-0.8436080467229043,0.5810209692524825,3.417165295437547,0,0,99,0,0,0,NEUTRAL,0.0,PRE_PUMP_30,TIMEOUT,0.1498,-1.963,0.0,0.0,0.147834,2026-07-25T20:39:00.416469+00:00,2026-07-25T20:39:00.416469+00:00,0.1498,-0.589,TIMEOUT,2,1.0,0.0,0,0,0,0,0.3,PRE_PUMP_30
AKEUSDT_LONG_1784853431,2026-07-24T00:37:11.334325+00:00,AKEUSDT,LONG,0.0022816,0.00250976,0.00222228,0.00222228,10.0,2.6,4.0,3.5,1,0,0.00235005,0,40.0,0,80.0,1,0,-8.725047005640683,-5.154639175257731,1.6313664894882718,9.869640352634743,0,0,99,0,0,0,NEUTRAL,0.0,PRE_PUMP_30,TP_HIT,0.0031645,38.697,38.69652875175317,0.0,0.00222228,2026-07-25T20:39:00.416469+00:00,2026-07-25T20:39:00.416469+00:00,0.0031645,11.609,TP_HIT,2,1.0,0.0,0,0,0,0,0.3,PRE_PUMP_30
DNUSDT_LONG_1784853431,2026-07-24T00:37:11.341723+00:00,DNUSDT,LONG,0.04394,0.0470158,0.04279756,0.04279756,7.0,2.6,6.0,2.5,1,0,0.0452582,0,45.0,0,90.0,1,0,-3.343598768147824,-4.0611353711790406,0.7790937932029411,5.889524676506924,0,0,99,0,0,0,NEUTRAL,0.0,PRE_PUMP_30,TIMEOUT,0.04379,-0.341,0.0,0.0,0.04279756,2026-07-25T20:39:00.416469+00:00,2026-07-25T20:39:00.416469+00:00,0.04379,-0.102,TIMEOUT,2,1.0,0.0,0,0,0,0,0.3,PRE_PUMP_30
EVAAUSDT_LONG_1784853836,2026-07-24T00:43:56.945745+00:00,EVAAUSDT,LONG,0.8685,0.93798,0.84027375,0.84027375,8.0,3.25,8.0,3.0,1,0,0.894555,0,37.5,0,75.0,1,0,-2.162892869212571,-5.515665796344644,0.5344634118075007,2.663047948022042,0,0,99,0,0,0,NEUTRAL,0.0,PRE_PUMP_30,TIMEOUT,0.9124,5.055,5.054691997697171,0.0,0.84027375,2026-07-25T20:39:00.416469+00:00,2026-07-25T20:39:00.416469+00:00,0.9124,1.516,TIMEOUT,1,1.0,0.0,0,0,0,0,0.3,PRE_PUMP_30
IKAUSDT_LONG_1784853836,2026-07-24T00:43:56.957446+00:00,IKAUSDT,LONG,0.002315,0.0025928,0.00223976,0.00223976,12.0,3.25,6.0,4.0,1,0,0.00238445,0,50.0,0,100.0,1,0,0.1297577854671265,-0.0431778929188313,2.85685898527891,1.5427337241592105,0,0,99,0,1,0,NEUTRAL,0.0,PRE_PUMP_30,TIMEOUT,0.002452,5.918,5.917926565874748,0.0,0.00223976,2026-07-25T20:39:00.416469+00:00,2026-07-25T20:39:00.416469+00:00,0.002452,1.775,TIMEOUT,1,1.0,0.0,0,0,0,0,0.3,PRE_PUMP_30
SYNUSDT_LONG_1784853836,2026-07-24T00:43:56.965223+00:00,SYNUSDT,LONG,0.14213,0.1535004,0.13751078,0.13751078,8.0,3.25,6.0,3.0,1,0,0.1463939,0,37.5,0,75.0,1,0,-3.496740901683859,-5.992459818771073,0.6893036687521322,4.062679036294738,0,0,99,0,0,0,NEUTRAL,0.0,PRE_PUMP_30,TP_HIT,0.172,21.016,21.015971293885862,0.0,0.13751078,2026-07-25T20:39:00.416469+00:00,2026-07-25T20:39:00.416469+00:00,0.172,6.305,TP_HIT,1,1.0,0.0,0,0,0,0,0.3,PRE_PUMP_30
INUSDT_LONG_1784854062,2026-07-24T00:47:42.934218+00:00,INUSDT,LONG,0.03986,0.0430488,0.03856455,0.03856455,8.0,3.25,6.0,3.0,1,0,0.0410558,0,50.0,0,100.0,1,0,-0.2003004506760232,-0.025081514923509,4.804861743288616,1.361909540534729,0,0,99,0,1,1,NEUTRAL,0.0,PRE_PUMP_30,TIMEOUT,0.04002,0.401,0.4014049172102369,0.0,0.03856455,2026-07-25T20:39:00.416469+00:00,2026-07-25T20:39:00.416469+00:00,0.04002,0.12,TIMEOUT,1,1.0,0.0,0,0,0,0,0.3,PRE_PUMP_30
WODUSDT_LONG_1784854062,2026-07-24T00:47:42.943675+00:00,WODUSDT,LONG,0.00551,0.0059508,0.00533093,0.00533093,8.0,3.25,6.0,3.0,1,0,0.0056753,0,50.0,0,100.0,1,0,-0.7743562038537662,-1.059436164481954,9.951273046345491,0.8737360642986768,0,0,99,0,1,1,NEUTRAL,0.0,PRE_PUMP_30,TIMEOUT,0.005652,2.577,2.5771324863883804,0.0,0.00533093,2026-07-25T20:39:00.416469+00:00,2026-07-25T20:39:00.416469+00:00,0.005652,0.773,TIMEOUT,1,1.0,0.0,0,0,0,0,0.3,PRE_PUMP_30
XCXUSDT_LONG_1784854062,2026-07-24T00:47:42.951853+00:00,XCXUSDT,LONG,0.0033262,0.00365882,0.0032181,0.0032181,10.0,3.25,6.0,3.5,1,0,0.00342599,0,50.0,0,100.0,1,0,0.2773590593910162,0.0631749947354202,3.425385749686158,3.370856490031525,0,0,99,0,1,1,NEUTRAL,0.0,PRE_PUMP_30,SL_HIT,0.0031887,-4.134,0.0,0.0,0.0032181,2026-07-25T20:39:00.416469+00:00,2026-07-25T20:39:00.416469+00:00,0.0031887,-1.24,SL_HIT,1,1.0,0.0,0,0,0,0,0.3,PRE_PUMP_30
