signal_id,ts_entry,symbol,direction,entry_price,tp_price,sl_price,initial_sl_price,tp_pct,sl_pct,max_hold_hours,trailing_pct,use_trailing,use_scaled,tp1_price,tp1_hit,score_long,score_short,confidence,n_long_signals,n_short_signals,f_momentum_3_pct,f_momentum_6_pct,f_rvol,f_atr_pct,f_a_ichi_above_cloud,f_a_ichi_below_cloud,f_a_fib_dist_0.618,f_a_fib_distance_pct,f_volume_spike,f_m_5m_volume_spike,btc_state,btc_momentum_12_pct,market_regime,status,current_price,current_pct,highest_pct,lowest_pct,current_trailing_sl,ts_last_check,ts_exit,exit_price,exit_pct,exit_reason,num_checks,size_remaining,partial_pnl,m_obi_10_at_entry,m_cvd_at_entry,m_5m_rvol_at_entry,m_spread_pct_at_entry
EPICUSDT_LONG_1784760050,2026-07-22T22:40:50.018334+00:00,EPICUSDT,LONG,0.6009,0.630945,0.582873,0.582873,5.0,3.0,8.0,1.5,1,0,0.618927,0,69.0,40.0,69.0,0,0,-4.512950897822975,10.256880733944945,0.252,5.843904511953558,1.0,0.0,99,0,0,1.0,NEUTRAL,1.0676647945384012,NEUTRAL,OPEN,0.6009,0.0,0.0,0.0,0.582873,2026-07-22T22:40:50.018365+00:00,,,,,0,1.0,0.0,3.6622364033298944,5206.1,0.0,0
OPNUSDT_LONG_1784761615,2026-07-22T23:06:55.912213+00:00,OPNUSDT,LONG,0.0704,0.07392,0.069344,0.069344,5.0,1.5,8.0,0.5,1,0,0.072512,0,58.0,42.0,58.0,13,0,6.0,3.8,0.07,4.0,0.0,0.0,50,0,0,0.0,NEUTRAL,1.1,NEUTRAL,OPEN,0.0704,0.0,0.0,0.0,0.069344,2026-07-22T23:06:55.912243+00:00,,,,,0,1.0,0.0,1.0,0.0,1.0,0
