feature,pearson,top_wr,bot_wr,wr_diff,score
ind_atr_pct,0.1501314171807118,0.2823529411764706,0.06470588235294118,0.21764705882352942,0.19064080216640236
struct_range_pct,0.15019868496804464,0.2901960784313726,0.09411764705882353,0.19607843137254904,0.1777265328107473
ind_bb_width_pct,0.1411691036635315,0.27450980392156865,0.12549019607843137,0.14901960784313728,0.14587940617129497
ex_ex_ulcer_score,-0.12187748542782416,0.11372549019607843,0.25098039215686274,-0.13725490196078433,0.13110393534760026
ex_ex_ulcer,0.09917371398237268,0.25098039215686274,0.11372549019607843,0.13725490196078433,0.12202242676941966
ind_bb_lower,-0.09394138680584221,0.13137254901960785,0.26666666666666666,-0.13529411764705881,0.11875302531057216
ex_ex_dc_lower,-0.09343364941697298,0.13026819923371646,0.2653846153846154,-0.13511641615089892,0.11844330945732853
ind_bb_mid,-0.08784510155986197,0.13333333333333333,0.2568627450980392,-0.12352941176470586,0.1092556876827683
ex_ex_kc_mid,-0.08780250492172123,0.13333333333333333,0.2568627450980392,-0.12352941176470586,0.10923864902751201
ex_ex_kc_lower,-0.09097233797921529,0.13333333333333333,0.2529411764705882,-0.1196078431372549,0.10815364107403905
ex_ex_cmf_positive,-0.11495656159098282,0.1174496644295302,0.21606648199445982,-0.09861681756492963,0.10515271517535091
ex_ex_kc_upper,-0.08459151422796887,0.1411764705882353,0.25882352941176473,-0.11764705882352944,0.10442484098530522
tech_ema20,-0.08696875674264447,0.1411764705882353,0.2568627450980392,-0.1156862745098039,0.10419926740294014
tech_ema50,-0.08650871495577309,0.13725490196078433,0.2529411764705882,-0.1156862745098039,0.10401525068819158
ind_vwap,-0.0856933531519489,0.14313725490196078,0.25882352941176473,-0.11568627450980395,0.10368910596666192
ex_ex_dc_mid,-0.08567649981337491,0.1450980392156863,0.2607843137254902,-0.11568627450980393,0.10368236463123232
ex_ex_supertrend,-0.08409931077633187,0.14901960784313725,0.2647058823529412,-0.11568627450980393,0.1030514890164151
ex_ex_psar,-0.08624088251577984,0.15098039215686274,0.2627450980392157,-0.11176470588235296,0.10155517653572371
ex_ex_cmf_score,-0.09726589470369039,0.1174496644295302,0.220162224797219,-0.1027125603676888,0.10053389410208943
ex_ex_aroon_down,0.0979031604694151,0.2441860465116279,0.14807692307692308,0.09610912343470482,0.09682673824858892
tech_ema100,-0.07681787615930183,0.12156862745098039,0.23076923076923078,-0.10920060331825039,0.09624751245467097
ind_bb_upper,-0.08112394591964057,0.14313725490196078,0.24901960784313726,-0.10588235294117648,0.09597899013256211
tech_technical_score,0.08123936760183871,0.23921568627450981,0.1392156862745098,0.1,0.09249574704073549
ex_ex_dc_upper,-0.07757124255831675,0.15655577299412915,0.25048923679060664,-0.09393346379647749,0.08738857530121319
ex_ex_cmf,-0.09164150681318194,0.10980392156862745,0.19411764705882353,-0.08431372549019608,0.08724483801939042
ex_ex_plus_di,0.08898334015586028,0.24509803921568626,0.1803921568627451,0.06470588235294117,0.0744168654741088
ex_ex_vpt_slope_norm,0.08708386063849179,0.28627450980392155,0.22549019607843138,0.060784313725490174,0.07130413249069081
struct_in_range,-0.1409368246361717,0.18725490196078431,0.20441097364174288,-0.017156071680958562,0.0666683728630438
ex_ex_adx_strong,0.07352699254491306,0.22031963470319635,0.16237113402061856,0.057948500682577786,0.0641798974275119
ex_ex_uo,-0.06123128158390555,0.1568627450980392,0.21568627450980393,-0.05882352941176472,0.05978663028062105
tech_macd_score,0.07269728347849894,0.20262096774193547,0.15248618784530388,0.05013477989663159,0.05915978132937853
ex_ex_adx,0.04665379546059657,0.22156862745098038,0.1568627450980392,0.06470588235294117,0.05748504759600333
ex_ex_mass_index,0.08121091377108458,0.22156862745098038,0.18235294117647058,0.0392156862745098,0.05601377727313971
candle_last_body_ratio,0.04747198433766579,0.22549019607843138,0.16470588235294117,0.0607843137254902,0.05545938197036044
ex_ex_adx_score,0.05053476547011219,0.23026315789473684,0.17183570829840739,0.05842744959632945,0.05527037594584255
