symbol,ts,price,fwd_4h,fwd_12h,ob_obi_5,ob_obi_10,ob_obi_20,ob_spread_pct,ob_depth_1pct,ob_depth_5pct,ob_depth_10pct,ob_bid_vol_5,ob_ask_vol_5,ob_imbalance_5,ob_large_bid_count,ob_large_ask_count,flow_flow_buy_ratio,flow_flow_buy_vol,flow_flow_sell_vol,flow_flow_concentration,flow_flow_avg_size,flow_large_trade_count,whale_score,whale_count,whale_buy_sell_ratio,whale_accumulated,cvd,cvd_trend,spread_pct,taker_buy_ratio,n_trades,pump
EPICUSDT,2026-07-24T00:03:48.120684+00:00,0.6482,0.0,0.0,0.5490466448907625,0.7552144324516029,1.0004690865365558,0.20044715133759433,60557.399999999994,60557.399999999994,60557.399999999994,4857.8,8847.7,0.5490466448907625,3,1,0.327195841776055,1114.2,2291.1,0.14715296743311895,56.755,3,0,0,1.0,0,-1176.900000000001,541.5,0.20044715133759433,0.327195841776055,60,0
OPNUSDT,2026-07-24T00:03:49.149826+00:00,0.0655,-0.1526717557251952,-0.1526717557251952,1.094160078106652,1.1561818944553772,1.1911099560180978,0.15278838808251008,3612768.7,7981363.199999999,7981363.199999999,1760144.9,1608672.2,1.094160078106652,2,2,0.633499884695211,28844.2,16687.3,0.4259446756641007,758.8583333333332,3,0,0,1.0,0,12156.900000000001,17483.5,0.15278838808251008,0.633499884695211,60,0
RECALLUSDT,2026-07-24T00:03:50.151364+00:00,0.0376,0.0,0.0,2.834546815342643,1.4602495253454624,1.5559686029336124,0.0265922084829042,1309396.9,1309396.9,1309396.9,82184.0,28993.7,2.834546815342643,3,1,0.5050570257029598,648196.5,635216.0,0.03009445521217847,21390.208333333332,3,0,0,1.0,0,12980.499999999884,-53942.100000000006,0.0265922084829042,0.5050570257029598,60,0
TLMUSDT,2026-07-24T00:03:51.196848+00:00,0.001679,0.0,0.0,2.080085889635785,1.4227562940384597,1.4614877007409117,0.29859659599880634,43339850.0,58768457.0,58768457.0,10172581.0,4890462.0,2.080085889635785,3,1,0.472027950960326,2271871.0,2541130.0,0.1383419616991561,80216.68333333333,3,0,0,1.0,0,-269259.0,-88061.0,0.29859659599880634,0.472027950960326,60,0
RESOLVUSDT,2026-07-24T00:03:52.170598+00:00,0.01902,0.0,0.0,0.9422862932713881,0.931504247124976,1.1339113535212253,0.4735595895816879,6927288.5,9502982.0,9502982.0,2353704.8,2497865.9,0.9422862932713881,2,2,0.6250105138178119,653169.2999999999,391884.0,0.03996934893177218,17417.554999999997,3,0,0,1.0,0,261285.30000000005,172363.3,0.4735595895816879,0.6250105138178119,60,0
TUTUSDT,2026-07-24T00:03:53.146318+00:00,0.01413,0.0,0.0,1.6936958402509585,1.1207140519884229,1.1768327250823796,0.0707463742483169,5915112.0,8109651.0,8109651.0,1329265.0,784831.0,1.6936958402509585,3,1,0.45495719046812083,451030.0,540338.0,0.053863953647888575,16522.8,3,0,0,1.0,0,-89308.0,-5638.0,0.0707463742483169,0.45495719046812083,60,0
FIGHTUSDT,2026-07-24T00:03:54.191189+00:00,0.003389,0.0,0.0,1.215117717798549,0.9737198384032477,0.7685407015584709,0.2358490566037793,1918491.2,1918491.2,1918491.2,251900.1,207305.1,1.215117717798549,2,2,0.5294278196008483,2455361.6,2182403.0,0.03434842294496793,77296.07666666668,3,0,0,1.0,0,272958.6000000001,-947816.4000000001,0.2358490566037793,0.5294278196008483,60,0
