symbol,ts,price,fwd_4h,fwd_12h,ob_obi_5,ob_obi_10,ob_obi_20,ob_spread_pct,ob_depth_1pct,ob_depth_5pct,ob_depth_10pct,ob_bid_vol_5,ob_ask_vol_5,ob_imbalance_5,ob_large_bid_count,ob_large_ask_count,flow_flow_buy_ratio,flow_flow_buy_vol,flow_flow_sell_vol,flow_flow_concentration,flow_flow_avg_size,flow_large_trade_count,whale_score,whale_count,whale_buy_sell_ratio,whale_accumulated,cvd,cvd_trend,spread_pct,taker_buy_ratio,n_trades,pump
EPICUSDT,2026-07-24T00:00:06.704355+00:00,0.6474,0.0,0.0,0.6147681474961783,0.3624192192888399,0.8880002167126052,0.20069471246622425,55756.8,55756.8,55756.8,2654.2,4317.4,0.6147681474961783,2,2,0.5751194240732019,4274.0,3157.5,0.315750521429052,123.8583333333333,3,0,0,1.0,0,1116.4999999999995,-970.3000000000001,0.20069471246622425,0.5751194240732019,60,0
OPNUSDT,2026-07-24T00:00:07.670887+00:00,0.0657,0.0,0.0,1.0103871372862399,0.8974230864097065,0.9894419574315289,0.15209125475285606,3885486.4000000004,8561142.100000001,8561142.100000001,1692247.2,1674850.3,1.0103871372862399,2,2,0.6322676169443887,37791.9,21980.1,0.2584270226862076,996.1999999999999,3,0,0,1.0,0,15811.800000000003,-13501.599999999999,0.15209125475285606,0.6322676169443887,60,0
RECALLUSDT,2026-07-24T00:00:08.655940+00:00,0.03759,0.0,0.0,0.9493231259968101,1.022780006102053,1.0899852439383715,0.0532056397978164,1055469.3,1055469.3,1055469.3,37201.6,39187.5,0.9493231259968101,2,2,0.5543031842820848,620834.2,499192.2,0.03448454429288453,18667.10666666667,3,0,0,1.0,0,121641.99999999988,-28910.799999999996,0.0532056397978164,0.5543031842820848,60,0
TLMUSDT,2026-07-24T00:00:09.623885+00:00,0.001678,0.0,0.0,1.9443219176176925,1.0488845420560784,1.2565117314514198,0.17915795759928124,43763663.0,59727169.0,59727169.0,10274880.0,5284557.0,1.9443219176176925,2,2,0.45387469167544536,2015077.0,2424644.0,0.14997338796739704,73995.35,3,0,0,1.0,0,-409567.0,-1719379.0,0.17915795759928124,0.45387469167544536,60,0
RESOLVUSDT,2026-07-24T00:00:10.610912+00:00,0.01897,0.0,0.0,0.649287623402343,0.7840063195256934,0.757632960550564,0.15835312747427946,5169491.6,6907075.0,6907075.0,1492813.5999999999,2299156.1,0.649287623402343,2,2,0.5698905911828585,601410.1,453897.9,0.03937201272045696,17588.466666666664,3,0,0,1.0,0,147512.19999999995,678.6000000000058,0.15835312747427946,0.5698905911828585,60,0
TUTUSDT,2026-07-24T00:00:11.574130+00:00,0.01404,0.0,0.0,0.9584053519858272,1.2914553131638256,1.2840764500090402,0.0711997152011363,5992088.0,8097670.0,8097670.0,710855.0,741706.0,0.9584053519858272,2,2,0.46055839514458957,481710.0,564216.0,0.05105428108680729,17432.1,3,0,0,1.0,0,-82506.0,57822.0,0.0711997152011363,0.46055839514458957,60,0
FIGHTUSDT,2026-07-24T00:00:12.562438+00:00,0.003382,0.0,0.0,1.3332220925550575,0.8742010157114457,0.9449743149249397,0.2071312324308348,1821197.9,1821197.9,1821197.9,195355.7,146529.0,1.3332220925550575,2,2,0.5361714982490565,2470280.8,2136977.9,0.03457585309893712,76787.645,3,0,0,1.0,0,333302.89999999944,530555.2999999999,0.2071312324308348,0.5361714982490565,60,0
