signal_id,ts_entry,symbol,direction,entry_price,tp_price,sl_price,initial_sl_price,tp_pct,sl_pct,max_hold_hours,trailing_pct,use_trailing,use_scaled,tp1_price,tp1_hit,score_long,score_short,confidence,n_long_signals,n_short_signals,f_momentum_3_pct,f_momentum_6_pct,f_rvol,f_atr_pct,f_a_ichi_above_cloud,f_a_ichi_below_cloud,f_a_fib_dist_0.618,f_a_fib_distance_pct,f_volume_spike,f_m_5m_volume_spike,btc_state,btc_momentum_12_pct,market_regime,status,current_price,current_pct,highest_pct,lowest_pct,current_trailing_sl,ts_last_check,ts_exit,exit_price,exit_pct,exit_reason,num_checks,size_remaining,partial_pnl,m_obi_10_at_entry,m_cvd_at_entry,m_5m_rvol_at_entry,m_spread_pct_at_entry,position_size,entry_mode
NOMUSDT_LONG_1785099250,2026-07-26T20:54:10.197023+00:00,NOMUSDT,LONG,0.00156,0.00195,0.00149916,0.00149916,25.0,3.9,12.0,6.0,1,0,0.0016068,0,42.5,0.0,85.0,1,0,1.2987012987013022,3.311258278145689,0.8780332078266538,1.923076923076921,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,0.00156,0.0,0.0,0.0,0.00149916,2026-07-26T20:54:10.197053+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
AIGENSYNUSDT_LONG_1785099250,2026-07-26T20:54:10.213509+00:00,AIGENSYNUSDT,LONG,0.0244,0.0305,0.0234484,0.0234484,25.0,3.9,12.0,6.0,1,0,0.025132,0,42.5,0.0,85.0,1,0,-0.1636661211129229,0.4115226337448678,1.2338769237575804,1.2734192037470704,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,0.0244,0.0,0.0,0.0,0.0234484,2026-07-26T20:54:10.213535+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
VELVETUSDT_LONG_1785099250,2026-07-26T20:54:10.229221+00:00,VELVETUSDT,LONG,0.46098,0.576225,0.44300178,0.44300178,25.0,3.9,12.0,6.0,1,0,0.4748094,0,37.5,0.0,75.0,1,0,-0.4943121721674216,-2.4690574420818816,0.6048860891565369,2.36359804887724,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,0.46098,0.0,0.0,0.0,0.44300178,2026-07-26T20:54:10.229247+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
EULUSDT_LONG_1785099250,2026-07-26T20:54:10.245283+00:00,EULUSDT,LONG,2.374,2.9675,2.281414,2.281414,25.0,3.9,12.0,6.0,1,0,2.44522,0,42.5,0.0,85.0,1,0,0.2110595187842926,-1.206824802330417,2.3228772117978846,7.819833915031896,0.0,0.0,99,0,1,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,2.374,0.0,0.0,0.0,2.281414,2026-07-26T20:54:10.245310+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
CAMPUSDT_LONG_1785099250,2026-07-26T20:54:10.257517+00:00,CAMPUSDT,LONG,0.0003761,0.00047012,0.00036143,0.00036143,25.0,3.9,12.0,6.0,1,0,0.00038738,0,37.5,0.0,75.0,1,0,0.3736322391246277,-3.216675244467327,0.6839260735788819,2.184069586356211,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,0.0003761,0.0,0.0,0.0,0.00036143,2026-07-26T20:54:10.257536+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
INJUSDT_LONG_1785099250,2026-07-26T20:54:10.267497+00:00,INJUSDT,LONG,4.873,6.09125,4.682953,4.682953,25.0,3.9,12.0,6.0,1,0,5.01919,0,42.5,0.0,85.0,1,0,-1.475940153659513,-1.356275303643728,0.5843640677752749,0.8472340300782717,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,4.873,0.0,0.0,0.0,4.682953,2026-07-26T20:54:10.267516+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
BRUSDT_LONG_1785099250,2026-07-26T20:54:10.277265+00:00,BRUSDT,LONG,0.14621,0.1827625,0.14050781,0.14050781,25.0,3.9,12.0,6.0,1,0,0.1505963,0,37.5,0.0,75.0,1,0,0.5017871872422384,0.9667840618741884,1.03829753114694,1.4177259714500676,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,0.14621,0.0,0.0,0.0,0.14050781,2026-07-26T20:54:10.277284+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
WCTUSDT_LONG_1785099250,2026-07-26T20:54:10.287166+00:00,WCTUSDT,LONG,0.03998,0.049975,0.03842078,0.03842078,25.0,3.9,12.0,6.0,1,0,0.0411794,0,42.5,0.0,85.0,1,0,-0.025006251562881,-0.1997004493260028,0.8000774181149286,0.6699778460658894,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,0.03998,0.0,0.0,0.0,0.03842078,2026-07-26T20:54:10.287186+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
ZAMAUSDT_LONG_1785099250,2026-07-26T20:54:10.296885+00:00,ZAMAUSDT,LONG,0.05658,0.070725,0.05437338,0.05437338,25.0,3.9,12.0,6.0,1,0,0.0582774,0,31.21951219512195,0.0,62.4390243902439,1,0,1.3252148997134627,10.400000000000004,0.4848389207575606,3.919860627177701,0.0,0.0,99,0,0,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,0.05658,0.0,0.0,0.0,0.05437338,2026-07-26T20:54:10.296904+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
SAROSUSDT_LONG_1785099250,2026-07-26T20:54:10.306284+00:00,SAROSUSDT,LONG,0.0003214,0.00040175,0.00030887,0.00030887,25.0,3.9,12.0,6.0,1,0,0.00033104,0,42.5,0.0,85.0,1,0,-1.1381113503537317,-0.8636644046884681,2.252763870146823,0.97341985954307,0.0,0.0,99,0,1,0.0,NEUTRAL,0.0,PRE_PUMP_30_PUMP_RUNNER,OPEN,0.0003214,0.0,0.0,0.0,0.00030887,2026-07-26T20:54:10.306302+00:00,,,,,0,1.0,0.0,0.0,0.0,0,0,0.3,PRE_PUMP_30_PUMP_RUNNER
