symbol,idx,price,fwd_ret_1bar,fwd_ret_12h,ind_vwap,ind_vwap_distance_pct,ind_price_above_vwap,ind_vwap_score,ind_atr,ind_atr_pct,ind_atr_expanding,ind_atr_score,ind_bb_upper,ind_bb_lower,ind_bb_mid,ind_bb_width_pct,ind_bb_squeeze,ind_bb_breakout_above,ind_bb_breakout_below,ind_bb_score,ind_rvol,ind_rvol_score,ind_volume_spike,ind_volume_continuity,ind_sustained,ind_momentum_1_pct,ind_momentum_3_pct,ind_momentum_6_pct,ind_momentum_12_pct,ind_momentum_acceleration,ind_momentum_score,tech_rsi_value,tech_rsi_divergence,tech_rsi_score,tech_macd_value,tech_macd_signal,tech_macd_hist,tech_macd_divergence,tech_macd_score,tech_ema20,tech_ema50,tech_ema100,tech_ema200,tech_ema_alignment,tech_ema_score,tech_pattern_score,tech_technical_score,candle_candle_strength,candle_candle_score,candle_big_wick_top,candle_bullish_close,candle_power_streak,candle_last_body_ratio,candle_last_upper_wick,struct_higher_highs,struct_higher_lows,struct_lower_highs,struct_lower_lows,struct_bos_up,struct_bos_down,struct_in_range,struct_structure_score,struct_range_pct,ex_ex_stoch_k,ex_ex_stoch_d,ex_ex_stoch_crossover,ex_ex_stoch_overbought,ex_ex_stoch_oversold,ex_ex_stoch_score,ex_ex_stochrsi_k,ex_ex_stochrsi_d,ex_ex_stochrsi_crossover,ex_ex_stochrsi_score,ex_ex_williams_r,ex_ex_williams_oversold,ex_ex_williams_overbought,ex_ex_williams_score,ex_ex_cci,ex_ex_cci_oversold,ex_ex_cci_overbought,ex_ex_cci_score,ex_ex_ao,ex_ex_ao_positive,ex_ex_ao_saucer,ex_ex_ao_score,ex_ex_tsi,ex_ex_tsi_positive,ex_ex_tsi_score,ex_ex_uo,ex_ex_uo_oversold,ex_ex_uo_score,ex_ex_roc,ex_ex_roc_positive,ex_ex_roc_score,ex_ex_adx,ex_ex_adx_strong,ex_ex_adx_weak,ex_ex_plus_di,ex_ex_minus_di,ex_ex_adx_score,ex_ex_aroon_up,ex_ex_aroon_down,ex_ex_aroon_score,ex_ex_aroon_crossover,ex_ex_psar,ex_ex_psar_above,ex_ex_psar_below,ex_ex_psar_score,ex_ex_psar_bullish_trend,ex_ex_vortex_plus,ex_ex_vortex_minus,ex_ex_vortex_score,ex_ex_supertrend,ex_ex_supertrend_bullish,ex_ex_supertrend_distance_pct,ex_ex_supertrend_score,ex_ex_kst,ex_ex_kst_signal,ex_ex_kst_crossover,ex_ex_kst_score,ex_ex_trix,ex_ex_trix_positive,ex_ex_trix_score,ex_ex_mfi,ex_ex_mfi_oversold,ex_ex_mfi_overbought,ex_ex_mfi_score,ex_ex_cmf,ex_ex_cmf_positive,ex_ex_cmf_score,ex_ex_obv_norm,ex_ex_obv_slope_norm,ex_ex_obv_score,ex_ex_ad_norm,ex_ex_ad_slope_norm,ex_ex_ad_score,ex_ex_force_norm,ex_ex_force_positive,ex_ex_force_score,ex_ex_eom,ex_ex_eom_positive,ex_ex_eom_score,ex_ex_vpt_norm,ex_ex_vpt_slope_norm,ex_ex_vpt_score,ex_ex_kc_upper,ex_ex_kc_lower,ex_ex_kc_mid,ex_ex_kc_breakout_above,ex_ex_kc_breakout_below,ex_ex_kc_score,ex_ex_dc_upper,ex_ex_dc_lower,ex_ex_dc_mid,ex_ex_dc_breakout_above,ex_ex_dc_breakout_below,ex_ex_dc_score,ex_ex_ulcer,ex_ex_ulcer_score,ex_ex_mass_index,ex_ex_mass_reversal,ex_ex_mass_score
HYPERUSDT,60,0.0816,-1.4705882352941255,-6.127450980392162,0.08002345148328643,1.97010812142094,1,69.7010812142094,0.0027862992960594087,3.41458247066104,0,50.0,0.08318242854266154,0.07679757145733844,0.07998999999999999,7.982069115293291,1,0,0,65.0,0.945,33.36411095148871,0,2.0,1,-0.7299270072992573,1.6189290161893022,5.562742561448916,4.214559386973195,-2.2620541662169114,62.66424571065465,56.42783715651829,bearish_div,35.0,0.0006683371352590589,0.0004700147698507324,0.0001983223654083265,none,60,0.0795391940103208,0.07901857718668281,,,mixed,50,58.0,48.333333333333336,0.5542929292929274,52.71464646464637,0,1,0.0,0.272727272727267,0.0909090909090932,1,0,0,0,0,0,0,50.0,11.126390798849844,66.29213483146077,60.674157303370826,1.0,0.0,0.0,55.0,84.9021544123265,67.04042897245056,1.0,35.0,-33.707865168539236,0.0,0.0,50.0,72.12572373862703,0.0,0.0,50.0,0.0020179411764705835,1.0,0.0,70.0,7.135550036179835,1.0,57.135550036179836,63.51458437033352,0.0,50.0,4.214559386973195,1.0,66.85823754789278,15.112439018038751,0.0,1.0,27.046633268680566,16.46405988940926,55.0,68.0,12.0,55.0,1.0,0.07671398351563206,0.0,1.0,70.0,1.0,1.0613333333333332,0.9546666666666664,70.0,0.07311017737338711,1.0,11.612367705324814,70.0,28.48748546396307,27.614175163440464,1.0,70.0,0.09642933639447064,1.0,59.642933639447065,61.016208928221175,0.0,0.0,50.0,0.033002162904816536,1.0,55.0,-0.14335643645367926,0.0541463624116188,65.0,-0.18603371455259388,0.05310595148067523,65.0,0.004113729001785207,1.0,65.0,4.739744634731594e-06,1.0,60.0,0.0024314393552044484,0.0012049041043702632,65.0,0.08277666666666667,0.07711666666666667,0.07994666666666667,0.0,0.0,55.0,0.0846,0.0757,0.08015,0.0,0.0,50.0,3.437163030191627,43.125673939616746,24.42920971079822,0.0,50.0
HYPERUSDT,61,0.0804,-0.24875621890547975,-1.1194029850746243,0.08010126316511694,0.37294896869136435,1,53.729489686913645,0.0027229922034837364,3.3868062232384784,0,50.0,0.08322192731746827,0.07683807268253173,0.08003,7.976826983551845,1,0,0,65.0,0.827,29.808180897263576,0,1.0,0,-1.4705882352941255,1.1320754716981107,3.6082474226804084,2.420382165605094,-1.3163781365493104,57.463989749097905,52.89317211929898,bearish_div,35.0,0.0006516840445648098,0.000506348624793548,0.00014533541977126182,none,60,0.07962117553314739,0.07907275063034232,,,mixed,50,62.0,48.333333333333336,0.574760765550238,53.738038277511905,0,0,0.0,0.6315789473684249,0.21052631578947253,1,0,0,0,0,0,0,50.0,11.120829688866664,52.80898876404495,64.04494382022476,0.0,0.0,0.0,45.0,55.366423045557845,76.42505231677961,0.0,40.0,-47.19101123595505,0.0,0.0,50.0,39.90024937655904,0.0,0.0,50.0,0.00248000000000001,1.0,0.0,70.0,7.013131615998029,1.0,57.01313161599803,60.35505842733971,0.0,50.0,2.420382165605094,1.0,59.68152866242038,15.714252082668253,0.0,1.0,25.6984548655948,15.905734791631385,55.0,64.0,8.0,55.0,1.0,0.07702942417500679,0.0,1.0,70.0,1.0,1.06027397260274,0.9671232876712327,70.0,0.07310915963604842,1.0,9.972540240165257,70.0,28.23148174185841,27.092996053592092,1.0,70.0,0.10221511373692334,1.0,60.22151137369234,54.74532799916376,0.0,0.0,50.0,-0.009310531658946606,0.0,45.0,-0.1858437143441946,0.05868687842710422,65.0,-0.21564692324007467,0.056112797673800875,65.0,0.0017786858489386563,1.0,65.0,-2.932091091317063e-06,0.0,40.0,0.0018346528662149535,0.0016626179941352634,65.0,0.08270333333333332,0.07736333333333334,0.08003333333333333,0.0,0.0,55.0,0.0846,0.0757,0.08015,0.0,0.0,50.0,3.4052921984238353,43.18941560315233,24.229423404840837,0.0,50.0
HYPERUSDT,62,0.0802,1.496259351620956,-2.1197007481296675,0.08004243887968658,0.1968469758277179,1,51.96846975827718,0.002714207046092041,3.384298062458904,0,50.0,0.08303901278728336,0.07686098721271663,0.07995,7.727361569189157,1,0,0,65.0,1.064,36.91893708944842,0,1.0,0,-0.24875621890547975,-2.4330900243309026,0.8805031446540783,-1.955990220048905,-5.829316439425234,46.59895046593621,52.30509767052109,bearish_div,35.0,0.0006152557365329547,0.0005281300471414294,8.712568939152538e-05,bearish_div,50,0.07967630167284763,0.07911695648797595,,,mixed,50,62.0,45.0,0.353606919396393,27.680345969819648,1,0,0.0,0.07692307692307898,0.5769230769230763,0,0,0,0,0,0,0,50.0,11.131957473420877,50.56179775280893,56.554307116104894,0.0,0.0,0.0,45.0,50.45246125289291,73.75454356089995,0.0,40.0,-49.43820224719107,0.0,0.0,50.0,25.8747937831028,0.0,0.0,50.0,0.0024391176470588416,1.0,0.0,60.0,6.74817810346013,1.0,56.74817810346013,56.45227255129231,0.0,50.0,-1.955990220048905,0.0,42.17603911980438,15.818389334108748,0.0,1.0,23.939881164833487,16.922860267240143,55.0,60.0,4.0,55.0,1.0,0.07733224720800651,0.0,1.0,70.0,1.0,1.0435967302452314,0.9509536784741145,70.0,0.07267324367244357,1.0,10.356984148776116,70.0,26.50647073644453,26.494301621918265,1.0,70.0,0.1058270002198818,1.0,60.58270002198818,53.8028633574814,0.0,0.0,50.0,-0.02783050367535045,0.0,45.0,-0.2378378907352559,0.018065316642639405,65.0,-0.23084694841554973,0.0433248281646607,65.0,0.0011260752159049361,1.0,65.0,-5.647928444357509e-06,0.0,40.0,0.0016937443993798398,0.0017236895713775063,65.0,0.08256,0.07738,0.07997000000000001,0.0,0.0,55.0,0.0846,0.0757,0.08015,0.0,0.0,50.0,3.2386186131108357,43.522762773778325,24.191803945118053,0.0,50.0
HYPERUSDT,63,0.0814,-5.896805896805895,-1.8427518427518446,0.08020007066524894,1.4961699220434697,1,64.9616992204347,0.0027560493999426103,3.38581007363957,0,50.0,0.08292051160370413,0.07690948839629587,0.079915,7.521770890831836,1,0,0,65.0,4.261,100.0,1,2.0,1,1.496259351620956,-0.2450980392156933,1.369863013698635,-0.2450980392156933,-1.8640270554049954,52.32536775171928,55.50186095962231,bearish_div,35.0,0.0006754300736985241,0.0005575900524528483,0.00011784002124567582,bearish_div,50,0.07984046341829072,0.07920648760609454,,,mixed,50,74.0,45.0,0.34855641434588847,27.427820717294424,1,0,0.0,0.3636363636363644,0.4848484848484845,0,0,0,0,0,0,0,50.0,11.136832884940238,64.04494382022474,55.80524344569289,1.0,0.0,0.0,55.0,77.16467889044307,68.2192421508395,1.0,60.0,-35.955056179775255,0.0,0.0,50.0,77.37775389575471,0.0,0.0,50.0,0.0025105882352941256,1.0,1.0,70.0,7.410925196472561,1.0,57.41092519647256,51.76288171563802,0.0,50.0,-0.2450980392156933,0.0,49.01960784313723,16.334503809287938,0.0,1.0,24.743353590947443,15.47535711804613,55.0,56.00000000000001,0.0,55.0,1.0,0.07762295731968624,0.0,1.0,70.0,1.0,1.0489690721649485,0.8969072164948453,70.0,0.07322591930519921,1.0,11.162824273645422,70.0,29.058759416605284,26.613702015235464,1.0,70.0,0.11059998024200457,1.0,61.05999802420045,67.64096738921859,0.0,0.0,50.0,-0.01064261036558359,0.0,45.0,-0.021228764720975134,0.02845520461031471,65.0,-0.1920613051695461,0.03274422719030786,65.0,0.00800655927621527,1.0,65.0,2.9684541513782856e-06,1.0,60.0,0.004178017249530712,0.001967133577845199,65.0,0.08258166666666668,0.07727166666666666,0.07992666666666667,0.0,0.0,55.0,0.0846,0.0757,0.08015,0.0,0.0,50.0,3.030334476996459,43.939331046007084,24.115521750975912,0.0,50.0
HYPERUSDT,64,0.0766,3.785900783289817,0.7832898172323802,0.07959568221992466,-3.7636240262977125,0,12.363759737022875,0.003309188728518138,4.320089723914018,0,50.0,0.0829544189086136,0.07641558109138638,0.07968499999999999,8.205857836766297,1,0,0,65.0,5.917,100.0,1,3.0,1,-5.896805896805895,-4.726368159203977,-3.647798742138365,-5.080545229244105,-5.858443630902087,31.618920248482695,43.06729155823796,bearish_div,35.0,0.0003319720179313923,0.0005124664455485572,-0.0001804944276171649,bearish_div,10,0.07953184785464398,0.07910427240585555,,,mixed,38,38.0,27.666666666666668,0.3471361971361975,42.356809856809875,0,0,0.0,0.45714285714285724,0.2190476190476188,0,0,0,0,0,0,0,50.0,14.306331179017374,29.824561403508792,48.1437676588475,0.0,0.0,0.0,45.0,0.0,55.70241578255634,0.0,65.0,-70.17543859649122,0.0,0.0,50.0,-99.84739481142417,0.0,0.0,50.0,0.0018558823529411794,1.0,0.0,60.0,3.9444403783017288,1.0,53.94444037830173,44.444334763082956,0.0,50.0,-5.080545229244105,0.0,29.67781908302358,16.254050209965957,0.0,1.0,19.135011274594298,25.99907188578455,35.0,52.0,100.0,35.0,0.0,0.0846,1.0,0.0,30.0,0.0,0.89010989010989,0.9626373626373628,35.0,0.06798832737467927,1.0,12.66639871556533,70.0,27.172425191715067,26.83717865543328,1.0,70.0,0.10380316054857894,1.0,60.38031605485789,46.80667282831727,0.0,0.0,50.0,-0.07745899841959944,0.0,45.0,-0.25305980344740736,-0.03562943533994001,35.0,-0.23647859818140132,-0.007635905556347477,35.0,-0.030171222146438508,0.0,35.0,-2.250768625843818e-05,0.0,40.0,-0.010589149206081968,-0.0013878474041379384,35.0,0.08280166666666666,0.07668166666666668,0.07974166666666667,0.0,1.0,35.0,0.0846,0.0732,0.0789,0.0,0.0,50.0,3.5339140963064413,42.93217180738712,24.455140395359578,0.0,50.0
HYPERUSDT,65,0.0795,-1.2578616352201268,-0.3773584905660311,0.0795418653925441,-0.05263315404722802,0,49.47366845952772,0.003344246676481128,4.206599593058023,0,50.0,0.08287289993678501,0.076387100063215,0.07963,8.144920097413046,1,0,0,65.0,0.536,21.07929970479577,0,2.0,1,3.785900783289817,-0.8728179551122098,-3.2846715328467084,2.185089974293068,1.5602720692186929,53.3736907572883,50.31047514908051,bearish_div,35.0,0.0002904368230376847,0.0004680605210463827,-0.000177623698008698,bearish_div,30,0.07952881472563028,0.07911979113503768,,,mixed,38,62.0,34.333333333333336,0.5485532011847805,52.427660059239024,0,1,1.0,0.7631578947368425,0.13157894736842124,0,0,0,0,0,0,0,50.0,14.316212482732633,55.26315789473687,49.710887706156804,1.0,0.0,0.0,55.0,47.755045544047306,48.39115864074668,0.0,40.0,-44.73684210526313,0.0,0.0,50.0,-55.61224489795885,0.0,0.0,50.0,0.0010526470588235193,1.0,0.0,60.0,3.4103795760121307,1.0,53.41037957601213,49.879484222192744,0.0,50.0,2.185089974293068,1.0,58.74035989717227,16.17934329630983,0.0,1.0,17.581840305477975,23.88875153647892,35.0,48.0,96.0,35.0,0.0,0.08437199999999999,1.0,0.0,30.0,0.0,0.9116379310344829,1.0689655172413792,35.0,0.06754449463721135,1.0,17.700192187391348,70.0,26.828372775148996,26.976713752638826,0.0,40.0,0.09656961661429846,1.0,59.65696166142985,45.77969225864734,0.0,0.0,50.0,-0.07323676985462069,0.0,45.0,-0.22886883659454854,-0.0703316169036819,35.0,-0.2192301266363012,-0.036962312465055006,35.0,-0.023892402949498032,0.0,35.0,-8.661809896509767e-06,0.0,40.0,-0.009684927740362068,-0.004070693060062721,35.0,0.08277666666666667,0.07653666666666667,0.07965666666666667,0.0,0.0,50.0,0.0846,0.0732,0.0789,0.0,0.0,50.0,3.6376783561616626,42.72464328767668,24.778811909098117,0.0,50.0
HYPERUSDT,66,0.0785,1.7834394904458577,2.0382165605095595,0.07954531466184175,-1.3141121715157358,0,36.858878284842646,0.003248229056732476,4.137871409850288,0,50.0,0.0828546718581755,0.07645532814182451,0.079655,8.033825517985035,1,0,0,65.0,0.589,22.67670892191176,0,1.0,0,-1.2578616352201268,-3.5626535626535625,-3.7990196078431437,1.5523932729624925,-3.317555523437869,40.893385911073246,48.040795697150955,bearish_div,35.0,0.00017481310255929028,0.00040941103734896424,-0.00023459793478967396,bearish_div,30,0.07943083237080835,0.07909548560033033,,,mixed,38,38.0,34.333333333333336,0.5187552213868002,50.93776106934001,0,0,0.0,0.5,0.3000000000000014,0,0,0,0,0,0,0,50.0,14.311719289435684,50.47619047619049,45.18796992481206,1.0,0.0,0.0,55.0,32.79081824842575,37.00919204114438,0.0,40.0,-49.523809523809504,0.0,0.0,50.0,-38.73988931460126,0.0,0.0,50.0,0.0004935294117647121,1.0,0.0,60.0,2.231806020088476,1.0,52.23180602008848,46.44453200299206,0.0,50.0,1.5523932729624925,1.0,56.20957309184997,16.06457798612724,0.0,1.0,17.028450310764295,22.838047047666354,35.0,44.0,92.0,35.0,0.0,0.08414855999999998,1.0,0.0,30.0,0.0,0.9522727272727275,1.102272727272727,35.0,0.06900004517349022,1.0,13.76804145942742,70.0,24.0273543055237,26.969805424064155,0.0,40.0,0.08669125867399113,1.0,58.66912586739912,45.04669209596808,0.0,0.0,50.0,-0.06040042510832191,0.0,45.0,-0.25927260564750126,-0.09227424205305515,35.0,-0.23777125475103617,-0.05586726779098893,35.0,-0.02169979146025496,0.0,35.0,1.1984770951551885e-05,1.0,60.0,-0.010092198905552302,-0.006492289954736994,35.0,0.08273833333333333,0.07657833333333333,0.07965833333333333,0.0,0.0,50.0,0.0846,0.0732,0.0789,0.0,0.0,50.0,3.804236068630576,42.39152786273885,24.83794503189257,0.0,50.0
HYPERUSDT,67,0.0799,-3.3792240300375394,-0.5006257822277818,0.07954289918609549,0.4489411594981635,1,54.48941159498163,0.003151926981251585,3.9448397762848373,0,50.0,0.08286087488040382,0.07645912511959617,0.07966,8.036341653034963,1,0,0,65.0,0.536,21.065361872246648,0,0.0,0,1.7834394904458577,4.308093994778065,-0.6218905472636821,2.963917525773191,9.034462153982041,62.740263742450594,51.349843689438615,bearish_div,35.0,0.000193913457141065,0.00036631152130738444,-0.00017239806416631943,bearish_div,30,0.07947551500215994,0.07912703518463111,,,mixed,50,50.0,38.333333333333336,0.6605263157894729,58.02631578947364,0,1,1.0,0.7368421052631575,0.10526315789473992,0,0,0,1,0,0,0,15.0,14.31082098920411,63.80952380952381,56.51629072681706,1.0,0.0,0.0,55.0,54.60770796235246,37.84657333130989,1.0,60.0,-36.19047619047618,0.0,0.0,50.0,-12.892281594571388,0.0,0.0,50.0,0.00010794117647058843,1.0,0.0,60.0,2.332464636443774,1.0,52.332464636443774,48.558431663796206,0.0,50.0,2.963917525773191,1.0,61.85567010309276,15.958010198100547,0.0,1.0,16.29519537540108,21.854627511176123,35.0,40.0,88.0,35.0,0.0,0.08392958879999998,1.0,0.0,30.0,0.0,1.0235849056603774,1.0141509433962261,70.0,0.0694900406561412,1.0,14.980505473252759,70.0,23.577750092472368,26.917019056909837,0.0,40.0,0.07877055436646466,1.0,57.877055436646465,48.89982465350813,0.0,0.0,50.0,-0.04977152459955107,0.0,45.0,-0.23392613053444858,-0.086579425921712,35.0,-0.21796423248078864,-0.06516552758370703,35.0,-0.017555437972290453,0.0,35.0,6.286602543894409e-07,1.0,60.0,-0.0096737723311184,-0.008741188035038497,35.0,0.08268333333333333,0.07662333333333333,0.07965333333333333,0.0,0.0,55.0,0.0846,0.0732,0.0789,0.0,0.0,50.0,3.6155270978300376,42.76894580433992,24.770982231995198,0.0,50.0
HYPERUSDT,68,0.0772,2.5906735751295358,0.2590673575129428,0.07951919229122548,-2.9165189237987046,0,20.834810762012953,0.0032267893397336144,4.179778937478775,0,50.0,0.0829327469855745,0.07627725301442549,0.079605,8.360648164247229,1,0,0,65.0,0.626,23.7663389144525,0,0.0,0,-3.3792240300375394,-2.8930817610062847,-3.7406483790523555,-2.8930817610062847,-2.020263805894075,36.94939432929161,45.35124022113135,bearish_div,35.0,-8.716332940347793e-06,0.00029130595045783803,-0.0003000222833981858,bearish_div,30,0.07925879928766852,0.07905146517739069,,,mixed,38,38.0,34.333333333333336,0.5314536340852121,51.5726817042606,0,0,0.0,0.6428571428571421,0.1428571428571438,0,0,0,1,0,0,0,15.0,14.320708498209903,38.095238095238145,50.79365079365082,0.0,0.0,0.0,45.0,15.058305653695614,35.350696379085825,0.0,65.0,-61.90476190476186,0.0,0.0,50.0,-80.21478727798434,0.0,0.0,50.0,-0.00041882352941176315,0.0,0.0,50.0,0.4053259761532547,1.0,50.40532597615326,46.67153249456193,0.0,50.0,-2.8930817610062847,0.0,38.42767295597486,16.520387925534646,0.0,1.0,14.780107464279931,24.028765866499445,35.0,36.0,84.0,35.0,0.0,0.08371499702399998,1.0,0.0,30.0,0.0,0.9933184855233854,0.9510022271714921,65.0,0.06844603659052707,1.0,12.789584095048214,70.0,21.872982789198716,26.195898056992238,0.0,40.0,0.06566814465806975,1.0,56.56681446580698,48.83470571198035,0.0,0.0,50.0,-0.05299481336029159,0.0,45.0,-0.2646177757568484,-0.1536931152348717,35.0,-0.23531619288867894,-0.08375797918586629,35.0,-0.017716690537733545,0.0,35.0,-1.7954581577453626e-05,0.0,40.0,-0.010707005969874277,-0.012104140688893442,35.0,0.08273833333333333,0.07649833333333333,0.07961833333333333,0.0,0.0,50.0,0.0846,0.0732,0.0789,0.0,0.0,50.0,3.6432535885886788,42.713492822822644,24.838502262213964,0.0,50.0
HYPERUSDT,69,0.0792,1.1363636363636338,-0.5050505050505195,0.0795244862679138,-0.4080331519786372,0,45.91966848021363,0.0032463043868954993,4.098869175373105,0,50.0,0.08293508725225907,0.07634491274774094,0.07964,8.27495543008303,1,0,0,65.0,0.612,23.36709176825931,0,0.0,0,2.5906735751295358,0.8917197452229377,-2.702702702702695,-1.3698630136986176,4.4543733078765,52.74479364460258,50.00975235899053,none,50.0,-7.828375506238605e-06,0.00023147908526502273,-0.00023930746077126133,none,40,0.07925319935550962,0.07905729007239498,,,mixed,38,74.0,42.666666666666664,0.6338345864661649,56.691729323308245,0,1,0.0,0.5714285714285714,0.25714285714285634,0,0,0,1,0,0,0,15.0,14.314414866901046,57.14285714285722,53.01587301587307,1.0,0.0,0.0,55.0,45.77234962632457,39.22764076240801,1.0,60.0,-42.85714285714278,0.0,0.0,50.0,-49.68789013732816,0.0,0.0,50.0,-0.0005005882352941277,0.0,0.0,50.0,0.35253300343691424,1.0,50.35253300343692,49.259820919229405,0.0,50.0,-1.3698630136986176,0.0,44.52054794520553,17.04259581529488,0.0,1.0,13.64181501621248,22.178186444914036,35.0,32.0,80.0,35.0,0.0,0.08350469708351999,1.0,0.0,30.0,0.0,1.0194805194805194,0.9523809523809522,70.0,0.06834143293147438,1.0,15.88870265482063,70.0,20.74781701193539,25.33593489565583,0.0,40.0,0.05448553188490389,1.0,55.448553188490386,52.673200656703685,0.0,0.0,50.0,-0.04306895700187958,0.0,45.0,-0.23382843703815306,-0.11062009176483302,35.0,-0.2202803611852485,-0.059127762520570865,35.0,-0.01322608162930478,0.0,35.0,-1.0169086278717953e-06,0.0,40.0,-0.009906432830398531,-0.009375686923121252,35.0,0.08286333333333333,0.07639333333333334,0.07962833333333333,0.0,0.0,50.0,0.0846,0.0732,0.0789,0.0,0.0,50.0,3.475457903919345,43.04908419216131,24.937997175257475,0.0,50.0
