symbol,entry_time,direction,entry_price,confidence,atr_pct,mom_3_pct,exit_pct,exit_reason,duration_min,max_favorable,max_adverse,strategy
XLMUSDT,2026-07-19 20:29:53.434312+00:00,LONG,0.1911,66.0,1.5515169219831753,1.5409139213602474,-3.401,SL_HIT,570.1,0.0,-3.401,smart
GROVEUSDT,2026-07-19 20:29:53.434312+00:00,SHORT,0.012226,55.0,5.385408262677625,-0.4072987943955661,-0.131,BREAKEVEN_LOCK,210.1,2.094,-0.131,smart
FDUSDUSDT,2026-07-19 20:29:53.434312+00:00,LONG,0.9986,66.0,0.0364093946976314,0.0500951808436084,-0.06,TIMEOUT,930.1,0.0,-0.07,smart
VVVUSDT,2026-07-19 20:29:53.434312+00:00,LONG,11.484,57.0,3.166312730454792,-1.8041898247114176,-0.313,BREAKEVEN_LOCK,450.1,1.55,-0.34,smart
GUSDT,2026-07-19 20:29:53.434312+00:00,SHORT,0.00348,72.0,6.539402223783336,-9.375000000000002,2.011,PROFIT_LOCK,870.1,3.736,-0.287,smart
USD1USDT,2026-07-19 20:49:04.657430+00:00,LONG,0.99984,58.0,0.0164428389310056,0.0080019204609075,0.016,TIMEOUT,910.9,0.016,0.0,smart
WLFIUSDT,2026-07-19 20:49:04.657430+00:00,LONG,0.0576,57.0,1.1688924250881307,1.4084507042253436,-1.042,TIMEOUT,910.9,0.174,-1.389,smart
RECALLUSDT,2026-07-19 20:49:04.657430+00:00,LONG,0.03876,57.0,3.289945067815362,0.9112210361885006,6.244,TP_HIT,790.9,6.244,-1.522,smart
BILLUSDT,2026-07-19 20:49:04.657430+00:00,SHORT,0.02546,79.0,10.335430350535152,-6.431459022418235,1.925,PROFIT_LOCK,250.9,3.967,0.0,smart
XLMUSDT,2026-07-19 20:49:04.657430+00:00,LONG,0.1914,69.0,1.5490850772778726,1.7003188097768227,-3.553,SL_HIT,550.9,0.0,-3.553,smart
GROVEUSDT,2026-07-19 20:49:04.657430+00:00,SHORT,0.01221,50.0,5.392465308722085,-0.5376344086021512,-0.262,BREAKEVEN_LOCK,190.9,1.966,-0.262,smart
FDUSDUSDT,2026-07-19 20:49:04.657430+00:00,LONG,0.9986,69.0,0.0364093946976314,0.0500951808436084,-0.06,TIMEOUT,910.9,0.0,-0.07,smart
VVVUSDT,2026-07-19 20:49:04.657430+00:00,LONG,11.497,60.0,3.1726729678027783,-1.693031209918772,0.887,TIMEOUT,910.9,1.583,-0.818,smart
USD1USDT,2026-07-19 21:15:55.200737+00:00,LONG,0.99982,58.0,0.0164431678469891,0.0060014403456889,0.018,TIMEOUT,884.1,0.018,0.0,smart
WLFIUSDT,2026-07-19 21:15:55.200737+00:00,LONG,0.0576,57.0,1.1688924250881307,1.4084507042253436,-1.042,TIMEOUT,884.1,0.174,-1.389,smart
RECALLUSDT,2026-07-19 21:15:55.200737+00:00,LONG,0.0388,57.0,3.3086446826202662,1.015360583181467,6.134,TP_HIT,764.1,6.134,-1.624,smart
BILLUSDT,2026-07-19 21:15:55.200737+00:00,SHORT,0.02533,71.0,10.41949352587206,-6.909224549797879,6.396,TP_HIT,524.1,6.396,0.0,smart
NBISBUSDT,2026-07-19 21:15:55.200737+00:00,LONG,178.78,54.0,2.7100235354977,2.806210465784931,4.128,TIMEOUT,884.1,4.178,0.0,smart
XLMUSDT,2026-07-19 21:15:55.200737+00:00,LONG,0.1915,69.0,1.55573605858776,1.7534537725823578,-3.029,SL_HIT,464.1,0.0,-3.029,smart
GROVEUSDT,2026-07-19 21:15:55.200737+00:00,SHORT,0.012097,50.0,5.475903233818026,-1.4581296839361384,7.523,TP_HIT,464.1,7.523,-1.562,smart
FDUSDUSDT,2026-07-19 21:15:55.200737+00:00,LONG,0.9984,61.0,0.0371321186491799,0.0300571085061584,-0.04,TIMEOUT,884.1,0.0,-0.05,smart
VVVUSDT,2026-07-19 21:15:55.200737+00:00,LONG,11.541,60.0,3.205138794308487,-1.3168020521590416,0.503,TIMEOUT,884.1,1.196,-1.196,smart
USD1USDT,2026-07-19 21:29:16.289823+00:00,LONG,0.99989,58.0,0.0167991988457925,0.0130031207489761,0.011,TIMEOUT,870.7,0.011,-0.004,smart
WLFIUSDT,2026-07-19 21:29:16.289823+00:00,LONG,0.0578,57.0,1.1648478146206978,1.7605633802816794,-1.384,TIMEOUT,870.7,0.0,-1.73,smart
RECALLUSDT,2026-07-19 21:29:16.289823+00:00,LONG,0.03861,52.0,3.328626543085301,0.5206977349648497,-0.285,BREAKEVEN_LOCK,330.7,1.684,-0.285,smart
BILLUSDT,2026-07-19 21:29:16.289823+00:00,SHORT,0.02533,79.0,10.41949352587206,-6.909224549797879,6.396,TP_HIT,510.7,6.396,0.0,smart
NBISBUSDT,2026-07-19 21:29:16.289823+00:00,LONG,179.52,54.0,2.7087996989861467,3.231742380678553,-0.078,BREAKEVEN_LOCK,450.7,1.56,-0.273,smart
XLMUSDT,2026-07-19 21:29:16.289823+00:00,LONG,0.1917,77.0,1.5541129641082734,1.8597236981934129,-3.13,SL_HIT,450.7,0.0,-3.13,smart
GROVEUSDT,2026-07-19 21:29:16.289823+00:00,SHORT,0.0121,58.0,5.474545571859228,-1.433691756272408,7.545,TP_HIT,450.7,7.545,-1.537,smart
FDUSDUSDT,2026-07-19 21:29:16.289823+00:00,LONG,0.9984,61.0,0.0371321186491799,0.0300571085061584,-0.04,TIMEOUT,870.7,0.0,-0.05,smart
VVVUSDT,2026-07-19 21:29:16.289823+00:00,LONG,11.557,80.0,3.200701464490288,-1.1799914493373227,0.363,TIMEOUT,870.7,1.056,-1.333,smart
USD1USDT,2026-07-19 21:30:26.873570+00:00,LONG,0.99991,61.0,0.0169417328327317,0.0150036008642057,0.009,TIMEOUT,869.6,0.009,-0.006,smart
WLFIUSDT,2026-07-19 21:30:26.873570+00:00,LONG,0.0577,57.0,1.1668666149926574,1.5845070422535177,-1.213,TIMEOUT,869.6,0.0,-1.56,smart
RECALLUSDT,2026-07-19 21:30:26.873570+00:00,LONG,0.03858,52.0,3.340472101753922,0.442593074720134,-0.207,BREAKEVEN_LOCK,329.6,1.763,-0.207,smart
BILLUSDT,2026-07-19 21:30:26.873570+00:00,SHORT,0.02531,67.0,10.427727025299854,-6.982726938625514,6.322,TP_HIT,509.6,6.322,0.0,smart
NBISBUSDT,2026-07-19 21:30:26.873570+00:00,LONG,179.52,54.0,2.7087996989861467,3.231742380678553,-0.078,BREAKEVEN_LOCK,449.6,1.56,-0.273,smart
XLMUSDT,2026-07-19 21:30:26.873570+00:00,LONG,0.1917,77.0,1.5541129641082734,1.8597236981934129,-3.13,SL_HIT,449.6,0.0,-3.13,smart
GROVEUSDT,2026-07-19 21:30:26.873570+00:00,SHORT,0.012102,58.0,5.47541150148118,-1.417399804496583,7.561,TP_HIT,449.6,7.561,-1.52,smart
FDUSDUSDT,2026-07-19 21:30:26.873570+00:00,LONG,0.9985,69.0,0.0371283998591299,0.0400761446748889,-0.06,TIMEOUT,869.6,0.0,-0.06,smart
VVVUSDT,2026-07-19 21:30:26.873570+00:00,LONG,11.535,60.0,3.206805966633225,-1.368106028217188,0.555,TIMEOUT,869.6,1.248,-1.144,smart
USD1USDT,2026-07-19 21:49:55.812647+00:00,LONG,0.9999,58.0,0.0169419022670035,0.0140033608065964,0.009,TIMEOUT,850.1,0.009,-0.005,smart
TLMUSDT,2026-07-19 21:49:55.812647+00:00,LONG,0.002361,52.0,9.534003274999575,11.578449905482042,-6.057,SL_HIT,10.1,0.0,-6.057,smart
WLFIUSDT,2026-07-19 21:49:55.812647+00:00,LONG,0.0576,57.0,1.1688924250881307,1.4084507042253436,-1.042,TIMEOUT,850.1,0.174,-1.389,smart
RECALLUSDT,2026-07-19 21:49:55.812647+00:00,LONG,0.03897,57.0,3.3088745767794427,1.4579536579015828,5.671,TP_HIT,730.1,5.671,-2.053,smart
BILLUSDT,2026-07-19 21:49:55.812647+00:00,SHORT,0.02504,87.0,10.540166573895338,-7.97500918779861,-0.319,BREAKEVEN_LOCK,250.1,2.356,-0.639,smart
NBISBUSDT,2026-07-19 21:49:55.812647+00:00,LONG,179.2,54.0,2.713636841305765,3.047728579643463,3.884,TIMEOUT,850.1,3.934,-0.095,smart
XLMUSDT,2026-07-19 21:49:55.812647+00:00,LONG,0.1904,69.0,1.5797300319154357,1.1689691817215768,-3.046,SL_HIT,490.1,0.0,-3.046,smart
GROVEUSDT,2026-07-19 21:49:55.812647+00:00,SHORT,0.012096,58.0,5.478127479408501,-1.4662756598240436,7.515,TP_HIT,430.1,7.515,-1.571,smart
FDUSDUSDT,2026-07-19 21:49:55.812647+00:00,LONG,0.9984,61.0,0.0371321186491799,0.0300571085061584,-0.05,TIMEOUT,850.1,0.0,-0.05,smart
GUSDT,2026-07-19 21:49:55.812647+00:00,SHORT,0.00346,50.0,6.659778619791994,-9.895833333333336,1.445,PROFIT_LOCK,790.1,3.179,-0.867,smart
VVVUSDT,2026-07-19 21:49:55.812647+00:00,LONG,11.429,60.0,3.2365479766483727,-2.274476271911073,-0.227,BREAKEVEN_LOCK,430.1,2.039,-0.227,smart
USDCUSDT,2026-07-20 11:25:18.352092+00:00,LONG,1.00084,59.0,0.0139187879899791,0.0219863684515487,0.004,TIMEOUT,34.7,0.004,0.0,smart
RECALLUSDT,2026-07-20 11:25:18.352092+00:00,LONG,0.041,67.0,3.4806692919252704,4.431991849210388,0.195,TIMEOUT,34.7,0.195,0.0,smart
USDCUSDT,2026-07-20 11:33:26.226847+00:00,LONG,1.00088,71.0,0.014132329036624,0.0259838899882,0.001,TIMEOUT,26.6,0.001,0.0,smart
RECALLUSDT,2026-07-20 11:33:26.226847+00:00,LONG,0.04093,67.0,3.486622061298218,4.253693326541002,0.366,TIMEOUT,26.6,0.366,0.0,smart
BILLUSDT,2026-07-20 11:33:26.226847+00:00,SHORT,0.02454,64.0,9.818902214453132,-2.6190476190476226,-0.122,TIMEOUT,26.6,0.0,-0.122,smart
USDCUSDT,2026-07-20 11:51:53.933106+00:00,LONG,1.00088,71.0,0.0144891578843815,0.0259838899882,0.001,TIMEOUT,8.1,0.001,0.0,smart
XLMUSDT,2026-07-20 11:51:53.933106+00:00,LONG,0.1892,71.0,1.7765706896857698,0.5313496280552608,-0.476,TIMEOUT,8.1,0.0,-0.476,smart
BILLUSDT,2026-07-20 11:51:53.933106+00:00,SHORT,0.02459,64.0,9.798936980182182,-2.4206349206349183,0.081,TIMEOUT,8.1,0.081,0.0,smart
RECALLUSDT,2026-07-20 12:01:24.025964+00:00,LONG,0.04106,67.0,3.2586400307915473,6.64935064935065,0.049,TIMEOUT,-1.4,0.0,0.0,smart
BILLUSDT,2026-07-20 12:01:24.025964+00:00,SHORT,0.02464,64.0,9.118234626447716,-1.004419445560467,0.284,TIMEOUT,-1.4,0.0,0.0,smart
