symbol,label,score,peak,dd,rvol_1h,m6,rsi_1h,btc_corr_2d,btc_corr_4d,independent_mover,prefilter_score,rsi_value,rsi_divergence,macd_hist,macd_divergence,ema_alignment,rvol,volume_spike,vwap_distance_pct,price_above_vwap,atr_pct,atr_expanding,bb_squeeze,bb_breakout_above,momentum_1_pct,momentum_3_pct,momentum_6_pct,momentum_12_pct,momentum_acceleration,higher_highs,higher_lows,bos_up,in_range,candle_strength,big_wick_top,power_streak,mtf_alignment,btc_state,btc_momentum_12_pct
TLMUSDT,0,67.0,0.93,-4.97,1.84,2.4,50.0,0.0,0.0,False,45.0,50.0,0.0,0.0,0.0,0.0,1.838,0.0,3.614054588179214,1.0,2.217811607957819,0.0,1.0,0.0,2.2931206380857447,2.5999999999999983,2.3952095808383165,10.44133476856835,2.7996007984031968,0.0,0.0,1.0,0.0,0.6684088269454111,0.0,0.0,0.5,1.0,2.1746816645075655
TLMUSDT,0,60.0,4.89,-3.21,2.39,7.17,71.7,0.0,0.0,False,80.0,71.70036435449668,0.0,6.687075576752263e-06,0.0,0.0,2.39,1.0,6.7081858654848805,1.0,2.3461233571273086,0.0,0.0,1.0,4.602109300095864,6.231742940603705,7.1709233791748455,8.23412698412698,5.347656496595857,0.0,1.0,1.0,0.0,0.6841675936225424,0.0,1.0,0.5,1.0,2.1746816645075655
TLMUSDT,1,43.0,6.69,-1.55,4.48,1.86,56.1,0.0,0.0,False,50.0,56.110813029416384,0.0,4.786948996037797e-06,0.0,0.0,4.484,1.0,0.9091655765316434,1.0,2.6631227729489435,0.0,0.0,0.0,-4.6746104491292435,-1.2345679012345672,1.860920666013704,5.369807497467059,-4.368750075573441,0.0,1.0,0.0,0.0,0.5781069875619361,0.0,0.0,0.5,1.0,2.1746816645075655
TLMUSDT,0,38.0,5.73,-6.36,1.69,0.55,66.0,0.0,0.0,False,65.0,65.97986342341142,0.0,4.779126419052709e-06,0.0,0.0,1.694,0.0,4.436361794743246,1.0,2.720055311385008,0.0,0.0,1.0,1.292705447830113,3.981042654028451,0.5499541704858063,7.760314341846766,7.280767676943209,1.0,1.0,1.0,0.0,0.4320238095238096,0.0,0.0,0.5,1.0,2.1746816645075655
TLMUSDT,0,38.0,1.53,-9.63,1.69,0.55,66.0,0.0,0.0,False,45.0,65.97986342341142,0.0,4.779126419052709e-06,0.0,0.0,1.694,0.0,4.436361794743246,1.0,2.720055311385008,0.0,0.0,1.0,1.292705447830113,3.981042654028451,0.5499541704858063,7.760314341846766,7.280767676943209,1.0,1.0,1.0,0.0,0.4320238095238096,0.0,0.0,0.5,1.0,2.1746816645075655
TLMUSDT,0,42.3,0.28,-2.62,0.8,2.19,49.7,0.0,0.0,False,60.0,49.74615888522459,0.0,1.3761117383656593e-06,0.0,0.0,0.798,0.0,0.4695268907277804,1.0,1.8033746070639518,0.0,1.0,0.0,0.09765625000001296,1.485148514851489,2.193419740777677,0.09765625000001296,0.7872422336949524,1.0,0.0,0.0,1.0,0.40043290043290264,1.0,0.0,0.5,1.0,2.1746816645075655
TLMUSDT,0,35.0,2.31,-1.54,1.23,3.31,65.8,0.0,0.0,False,80.0,65.80815090383254,0.0,5.574232701241132e-06,-1.0,0.0,1.228,0.0,3.563726702325274,1.0,1.6228201545750338,0.0,0.0,1.0,0.6635071090047452,3.006789524733268,3.307392996108945,6.199999999999998,2.7149607309589525,0.0,0.0,0.0,0.0,0.5616953852247966,1.0,0.0,0.5,1.0,2.1746816645075655
TLMUSDT,0,35.0,2.73,-1.54,1.23,3.31,65.8,0.0,0.0,False,80.0,65.80815090383254,0.0,5.574232701241132e-06,-1.0,0.0,1.228,0.0,3.563726702325274,1.0,1.6228201545750338,0.0,0.0,1.0,0.6635071090047452,3.006789524733268,3.307392996108945,6.199999999999998,2.7149607309589525,0.0,0.0,0.0,0.0,0.5616953852247966,1.0,0.0,0.5,1.0,2.1746816645075655
TLMUSDT,0,55.0,1.53,-4.34,2.46,7.51,75.8,0.0,0.0,False,60.0,75.82502661566076,0.0,8.477437507780742e-06,0.0,0.0,2.463,1.0,6.774345760618293,1.0,1.7892568741290458,0.0,0.0,1.0,3.7664783427495188,5.961538461538461,7.5121951219511995,9.108910891089094,4.498123827392137,0.0,0.0,0.0,0.0,0.6670875420875425,0.0,1.0,0.5,1.0,2.1746816645075655
TLMUSDT,1,100.0,8.56,-0.3,19.77,0.46,60.6,0.0,0.0,False,75.0,60.60110913059245,0.0,6.645047863675237e-07,0.0,0.0,19.766,1.0,1.223416488396418,1.0,2.3815405166318677,0.0,0.0,0.0,4.1306436119116094,2.7488151658767723,0.46339202965707094,4.23076923076923,4.973096908230818,0.0,0.0,0.0,0.0,0.3997897863877237,1.0,0.0,0.5,1.0,2.1746816645075655
